"BORROWER_ID","AGE_OF_RELATION_MONTHS","TOTAL_NO_OF_LOANS","TOTAL_LOAN_AMOUNT"
"STK1557784",42,1,164850
"STK2367581",42,1,164000
"STK2370863",42,2,216500
"STK2378603",42,1,146930
"STK2370925",42,1,218750
"STK2365434",42,1,164850
"STK2375225",42,2,307570
"STK2379367",42,2,270165
"STK2379509",42,1,103500
"STK2368890",42,1,110600
"STK2371119",42,1,165600
"STK2370808",42,1,96930
"STK2372775",42,1,300500
"STK2375747",42,1,150800
"STK2379227",42,1,226500
"STK182211",41,1,1500000
"STK2376073",42,2,588100
"STK2233750",42,1,221544
"STK2363190",42,1,199900
"STK2376000",42,1,164000
"STK2365514",42,1,216999
"STK2372534",42,1,167200
"STK2377098",42,1,114150
"STK2381818",42,1,100100
"STK2379193",42,1,164800
"STK2384318",42,1,164850
"STK1453796",42,1,100000
"STK2382400",42,1,99400
"STK2383276",42,1,164850
"STK2381955",42,1,114000
"STK278667",42,1,150150
"STK2383521",42,2,498000
"STK2387047",42,2,286550
"STK1746302",42,1,138810
"STK217163",42,1,100000
"STK2258980",42,1,164850
"STK2372076",42,1,224000
"STK37993",254,2,168800
"STK2339455",42,1,139510
"STK2361118",42,1,82500
"STK1963792",52,4,345000
"STK2367315",42,1,157500
"STK2372202",42,1,164850
"STK370966",102,2,209000
"STK338824",42,1,177240
"STK2378754",42,1,164850
"STK2373968",42,1,99000
"STK2365605",42,2,299250
"STK2367166",42,1,137920
"STK2379224",42,1,131430
"STK2379329",42,1,173495
"STK297028",42,1,139510
"STK2376070",42,1,70600
"STK1823270",42,1,164465
"STK2372868",42,1,201400
"STK2364616",42,1,160230
"STK2372456",42,1,159499
"STK2369619",42,1,209900
"STK2372025",42,1,100100
"STK2366723",42,1,138810
"STK2373903",42,1,227550
"STK2375266",42,1,173495
"STK2375957",42,1,206400
"STK2370972",42,1,161800
"STK2368815",42,1,267500
"STK2375810",42,1,166000
"STK2304491",44,2,720000
"STK2387177",42,1,164500
"STK2385229",42,1,146000
"STK177592",133,3,352200
"STK2367968",42,1,167230
"STK1207743",42,2,293495
"STK2375470",42,1,173495
"STK93759",42,2,227500
"STK2367840",42,1,102000
"STK1360709",42,1,185500
"STK2370268",42,1,73400
"STK2368176",42,1,146000
"STK2371072",42,1,143499
"STK2379260",42,2,260700
"STK2104915",42,2,373500
"STK2368960",42,1,183200
"STK2376594",42,1,130500
"STK2370226",42,1,164850
"STK2366047",42,1,114500
"STK2375768",42,2,248000
"STK2376758",42,2,296850
"STK2376558",42,1,164400
"STK2366722",42,1,139761
"STK2367005",42,2,364500
"STK2034337",63,2,352000
"STK2372956",42,1,146450
"STK232098",42,1,164850
"STK2368250",42,3,437330
"STK1957313",42,1,144600
"STK2376026",42,1,164800
"STK2373492",42,1,171150
"STK2378799",42,1,132930
"STK1749132",42,1,146999.3
"STK2365455",42,1,231000
"STK2371933",42,1,229900
"STK2369858",42,1,95100
"STK2377180",42,1,118999
"STK2367797",42,1,94500
"STK2338825",42,1,152250
"STK1089008",47,2,1118750
"STK2369355",42,1,164850
"STK2377084",42,1,255493
"STK2383037",42,1,255493
"STK2389832",42,1,154250
"STK2385006",42,1,219000
"STK2382808",42,1,216000
"STK2381256",42,1,145000
"STK2384774",42,1,257100
"STK2382415",42,1,145000
"STK2355148",42,2,210000
"STK2366373",42,1,164850
"STK2298187",42,1,300000
"STK2365211",42,1,125930
"STK1423571",42,2,290280.99
"STK2366281",42,1,108050
"STK2379750",42,1,164500
"STK2365262",42,1,160230
"STK2373376",42,1,227430
"STK2365357",42,1,130800
"STK2366743",42,1,103950
"STK1507413",42,1,125900
"STK2344859",42,3,2553187.09
"STK2379543",42,1,122500
"STK1771138",42,1,151000
"STK2370588",42,1,113000
"STK2367440",42,1,255500
"STK2369605",42,1,307930
"STK2367018",42,1,128800
"STK2386982",42,1,227570
"STK2382177",42,1,139510
"STK2381153",42,1,146499
"STK1324411",42,1,164850
"STK1101579",42,1,161400
"STK2384823",42,1,110600
"STK2386101",42,1,98630
"STK1979178",62,2,321640
"STK2382157",42,1,132930
"STK2384684",42,1,125999
"STK2356252",42,1,255500
"STK2007814",60,2,410000
"STK2365253",42,1,159900
"STK1426988",42,1,173495
"STK2177192",42,1,182000
"STK2372611",42,1,164000
"STK2370164",42,1,122430
"STK2367826",42,1,100100
"STK2377067",42,1,109550
"STK2366203",42,1,164850
"STK2374327",42,1,138800
"STK2375694",42,1,122200
"STK1903858",56,2,280000
"STK2374594",42,1,98630
"STK2379340",42,1,164000
"STK2365903",42,1,65693
"STK2380634",42,1,139900
"STK1583217",42,1,122500
"STK698645",81,3,520240
"STK531773",88,2,391000
"STK1592574",42,1,167230
"STK2373313",42,1,128500
"STK2356611",42,1,164800
"STK1619227",42,1,164800
"STK2370492",42,2,305188.79
"STK2370439",42,4,2435100
"STK2369940",42,1,129900
"STK2369693",42,1,95100
"STK945609",42,1,112377.57
"STK2363087",42,2,964850
"STK2356933",42,1,234500
"STK2383848",42,1,159250
"STK2381103",42,1,167930
