"BORROWER_ID","AGE_OF_RELATION_MONTHS","TOTAL_NO_OF_LOANS","TOTAL_LOAN_AMOUNT"
"STK2376736",42,1,173450
"STK2365375",42,1,227570
"STK2370220",42,1,164850
"STK2369646",42,1,159250
"STK2021586",61,4,688500
"STK2367779",42,1,210000
"STK1184145",42,2,237000
"STK2365891",42,1,137000
"STK2035681",69,2,593079
"STK2375812",42,1,204550
"STK2372187",42,1,149600
"STK2376838",42,1,149300
"STK2373359",42,2,342830
"STK2369755",42,2,432530
"STK2372424",42,1,226500
"STK2370803",42,1,164800
"STK2387480",42,1,122500
"STK2381923",42,2,290850
"STK2384453",42,1,164850
"STK2384449",42,1,164850
"STK2379172",42,1,183190
"STK2381878",42,1,158500
"STK2381963",42,1,132930
"STK2384920",42,2,349030
"STK2382819",42,1,145200
"STK2373244",42,1,225720
"STK1393938",42,1,164800
"STK2386973",42,1,164500
"STK2386533",42,1,173495
"STK2379190",42,1,106850
"STK2366417",42,1,290500
"STK2380019",42,1,147050
"STK2372779",42,1,145000
"STK2378041",42,1,164000
"STK2364052",42,1,125930
"STK2375147",42,1,137000
"STK2374877",42,1,147000
"STK734698",42,1,290800
"STK2368286",42,1,76500
"STK2375573",42,1,171000
"STK993588",74,4,574234
"STK1704165",54,2,301500
"STK2371090",42,2,420300
"STK2375930",42,1,126000
"STK2369899",42,1,125999.3
"STK478812",42,1,77000
"STK2370201",42,1,116500
"STK2372894",42,1,151850
"STK2372754",42,1,164850
"STK2383148",42,1,253020
"STK2383054",42,1,247500
"STK987579",42,1,164800
"STK2387636",42,1,162000
"STK2387071",42,2,154000
"STK2384160",42,1,110000
"STK2383193",42,1,151610
"STK2381894",42,2,462515
"STK2379186",42,1,164800
"STK2379973",42,1,164500
"STK2371433",42,1,165000
"STK2368483",42,1,173495
"STK2369961",42,1,148300
"STK2363187",42,2,620000
"STK2235025",42,1,283000
"STK2367601",42,1,164000
"STK1743290",42,2,217900
"STK2379928",42,1,227550
"STK2371006",42,1,252836
"STK2379544",42,1,122850
"STK2371728",42,1,167230
"STK2380105",42,1,178500
"STK2371957",42,1,290500
"STK2375998",42,2,218100
"STK771915",72,2,459170
"STK2366191",42,1,105000
"STK2365322",42,1,119000
"STK2374870",42,1,159000
"STK2376949",42,1,139510
"STK2365806",42,1,227430
"STK2362506",42,1,159600
"STK2369913",42,1,132900
"STK2369787",42,1,59499
"STK2367987",42,1,88400
"STK2367618",42,1,164465
"STK2372958",42,1,163730
"STK2365748",42,1,227500
"STK2367891",42,1,255430
"STK2376172",42,1,146000
"STK2367449",42,1,162000
"STK2365753",42,1,290500
"STK2365394",42,1,164499
"STK137002",178,3,571650
"STK2384333",42,1,277752
"STK2383102",42,2,291599
"STK2382324",42,2,471000
"STK2386032",42,1,164800
"STK2381909",42,1,145200
"STK2256877",42,1,267000
"STK693563",42,2,263499
"STK2322267",42,1,96000
"STK2363916",42,1,183190
"STK2202776",42,1,164850
"STK2365784",42,2,290850
"STK1557021",42,1,150850
"STK2379277",42,1,279900
"STK2379602",42,1,227000
"STK2367185",42,1,255493
"STK2365409",42,2,228800
"STK751331",75,2,284635.2
"STK2259075",42,1,217100
"STK2379134",42,1,194450
"STK2103322",42,1,272930
"STK2369856",42,1,290500
"STK2372082",42,2,326490
"STK2371672",42,3,460000
"STK2372378",42,1,134700
"STK2367523",42,1,164000
"STK2366699",42,1,112000
"STK2364541",42,1,87500
"STK2379200",42,1,145200
"STK2383499",42,1,164800
"STK2386680",42,1,164850
"STK2387180",42,1,98630
"STK2039785",59,4,1180500
"STK2387097",42,1,148900
"STK2381770",42,1,117600
"STK2325332",42,5,1248000
"STK84777",158,2,133000
"STK2381154",42,1,274800
"STK2387489",42,1,150850
"STK2381269",42,1,164800
"STK2379273",42,1,98630
"STK2383770",42,1,173495
"STK2299177",42,1,150000
"STK374026",42,1,227570
"STK66134",42,1,173495
"STK2376957",42,1,122500
"STK2379738",42,2,254850
"STK2368917",42,1,275000
"STK961280",42,1,164850
"STK2377843",42,1,117600
"STK2370945",42,1,164850
"STK1365180",42,1,159000
"STK2346923",42,1,150000
"STK2370916",42,1,138810
"STK1577973",42,1,191500
"STK2374239",42,2,293850
"STK1260220",42,1,164000
"STK2369123",42,1,139510
"STK2366099",42,1,285950
"STK2373350",42,1,119499
"STK711981",42,1,148750
"STK2379383",42,1,163027
"STK2365461",42,1,164500
"STK2368626",42,1,148750
"STK1102525",44,2,237250
"STK2373021",42,2,290850
"STK2365893",42,1,100100
"STK2366470",42,1,148700
"STK2381217",42,1,146000
"STK1674076",42,1,95000
"STK2381672",42,1,173495
"STK2368189",42,1,138000
"STK2382104",42,2,225000
"STK1295913",42,1,159250
"STK2366096",42,2,402600
"STK2366217",42,1,164850
"STK1451938",42,2,247675
"STK2373042",42,1,100000
"STK2375074",42,1,159250
"STK1898902",55,8,5364850
"STK2367251",42,1,144700
"STK2369149",42,1,164850
"STK2374528",42,1,177240
"STK2266441",46,4,1235350
"STK2371743",42,1,122500
"STK2370583",42,1,69000
"STK2375651",42,1,164800
"STK2376033",42,1,146999
"STK2371884",42,1,174000
"STK2368087",42,1,226500
"STK2368900",42,1,126400
"STK2377965",42,1,108650
"STK2367945",42,1,150850
"STK2373025",42,2,290800
"STK2366744",42,1,159100
"STK2388736",42,1,138000
"STK1930686",42,1,164850
"STK2384873",42,1,134299
"STK2382340",42,1,148750
"STK2386377",42,1,171150
"STK648213",42,1,137000
"STK2360387",42,1,336000
"STK2346249",42,1,215000
"STK2375787",42,1,164850
"STK2380591",42,1,174965
"STK2168953",42,1,157350
"STK2370105",42,1,91000
"STK2371103",42,1,117600
"STK2370855",42,1,164710
"STK1004543",51,3,335000
"STK93432",42,2,198000
"STK1533123",42,1,115499
"STK1028822",42,2,293500
"STK2373133",42,1,227570
"STK2363632",42,2,284850
"STK2368094",42,1,122850
"STK2373764",42,1,164850
"STK2366437",42,1,167200
"STK2217840",42,1,125800
"STK2373234",42,1,290500
"STK140545",174,3,190600
"STK2376160",42,1,164850
"STK2356339",42,1,182153
"STK2380693",42,1,90000
"STK2379906",42,1,100000
"STK2365978",42,1,99500
"STK2375372",42,1,128700
"STK2376860",42,1,139510
"STK269902",42,1,164400
"STK2370167",42,1,139510
"STK2368330",42,1,183855
"STK2372014",42,1,143499
"STK2373427",42,1,115300
"STK869950",42,1,164850
"STK2031538",42,1,307650
"STK2368846",42,1,164850
"STK2386548",42,1,136000
"STK2382379",42,1,164500
"STK2365788",42,1,174965
"STK2381907",42,1,226600
"STK2389410",42,1,171000
"STK2151425",42,1,164500
"STK2385475",42,1,159000
"STK1320890",42,1,136430
"STK2389447",42,1,300510
"STK2385023",42,1,164800
"STK2369763",42,1,122500
"STK1012575",42,1,227570
"STK986220",42,2,290800
"STK2363321",42,1,164850
"STK882128",42,1,148190
"STK2374447",42,1,159250
"STK2371692",42,1,149800
"STK2363031",42,1,122430
"STK1957816",57,2,640000
"STK2368613",42,1,290500
"STK2368537",42,1,164850
"STK2379568",42,1,132930
"STK2370000",42,1,227570
"STK2150215",42,2,270400
"STK2377121",42,1,164850
"STK2365099",42,1,70000
"STK2365344",42,2,333112.7
"STK2367015",42,1,116500
"STK293507",42,1,150850
"STK2375416",42,1,183855
"STK2386969",42,1,113700
"STK2384982",42,1,84900
"STK2386675",42,1,164850
"STK2381986",42,1,122500
"STK2376158",42,1,174950
"STK2381401",42,1,164500
"STK2384177",42,1,114150
"STK2193275",42,1,180000
"STK2386684",42,1,146999
"STK2385984",42,1,164500
"STK2032727",42,2,174000
"STK2360279",42,1,160230
"STK2024731",52,3,914930
"STK2379762",42,1,164850
"STK2371953",42,1,164850
"STK2359117",42,1,135375
"STK2370532",42,1,202400
"STK2372210",42,1,163300
"STK2373044",42,1,164850
"STK971452",42,1,87000
"STK2191283",42,1,164850
"STK2302627",42,2,367570
"STK1953267",62,3,409000
"STK2371083",42,1,286930
"STK922049",71,2,320000
"STK2379859",42,1,145900
"STK2365243",42,1,290500
"STK1989272",59,2,279500
"STK2379609",42,1,159250
"STK2378801",42,1,164800
"STK2365747",42,1,61400
"STK2371810",42,1,132930
"STK2368957",42,2,335580
"STK2376162",42,1,183855
"STK2376785",42,1,194000
"STK2368051",42,1,190000
"STK2365485",42,1,148700
"STK2368350",42,1,164850
"STK2369168",42,2,496000
"STK2370779",42,1,167230
"STK2374289",42,1,164000
"STK2373415",42,2,260000
"STK2375685",42,1,286930
"STK2382902",42,2,444000
"STK2382818",42,2,302500
"STK2387683",42,1,182000
"STK2374104",42,1,164850
"STK2386910",42,2,229305
"STK2387644",42,1,167230
"STK2384137",42,1,164850
"STK2389294",42,1,138810
"STK2387096",42,2,331430
"STK2382737",42,2,193000
"STK2383413",42,1,164500
"STK2373233",42,1,210000
"STK2370470",42,1,164800
"STK1895205",42,1,112000
"STK1404555",42,1,227100
"STK2370755",42,1,164800
"STK2371115",42,1,173495
"STK2378743",42,1,115992
"STK2374348",42,2,277230
"STK2375216",42,1,131400
"STK2377673",42,1,163200
"STK2379245",42,1,134100
"STK2114143",49,3,481857
"STK2367448",42,1,200000
"STK2280351",42,1,249900
"STK1033208",57,2,192430
"STK2377417",42,1,95000
"STK2353892",42,1,160650
"STK2368158",42,1,117000
"STK2368640",42,1,149300
"STK2365773",42,1,164000
"STK2367113",42,1,139510
"STK2382118",42,1,266500
"STK1552191",70,3,625804
"STK2383245",42,1,301350
"STK2382277",42,1,164500
"STK2386699",42,1,148700
"STK2317774",42,1,234500
"STK1704352",42,1,320000
"STK2370182",42,1,164850
"STK1492564",42,1,164800
"STK2372733",42,1,274042
"STK1746200",42,2,251600
"STK2373754",42,1,200000
"STK2360546",42,1,164000
"STK2368715",42,1,147000
"STK2368812",42,2,268050
"STK2207036",42,1,164850
"STK2373019",42,1,100000
"STK2368770",42,1,174965
"STK776725",72,2,416200
"STK1386211",42,1,184500
"STK2379195",42,1,138260
"STK2379337",42,1,227570
"STK2378270",42,1,114200
"STK2371934",42,1,147000
"STK977258",74,2,277500
"STK2366027",42,2,234800
"STK2373528",42,1,112000
"STK2108040",42,1,147000
"STK1194191",42,1,230930
"STK2368925",42,2,319150
"STK266146",42,1,105000
"STK2380005",42,1,150200
"STK2375679",42,1,200000
"STK2362486",42,1,174950
"STK2366456",42,1,162065
"STK2375356",42,1,144000
"STK2388702",41,1,157350
"STK2384796",42,1,145000
"STK2281687",42,1,95400
"STK2386305",42,1,95130
"STK2389643",42,1,138800
"STK2369785",42,1,164850
"STK2365436",42,1,129000
"STK1187139",42,1,105000
"STK2373016",42,1,139500
"STK559500",42,1,113295
"STK2369401",42,1,164850
"STK2135757",42,1,157500
"STK2372052",42,1,174950
"STK698657",42,1,283500
"STK2378079",42,1,99600
"STK2365519",42,1,136500
"STK2365887",42,1,157500
"STK1155214",42,1,166985
"STK2369536",42,1,116000
"STK2358450",42,2,377570
"STK2365323",42,1,121030
"STK2368589",42,1,138000
"STK2364598",42,1,153920
"STK2374864",42,1,216500
"STK2376119",42,1,166900
"STK2378262",42,1,183190
"STK2366663",42,2,422465
"STK2372316",42,1,136430
"STK1922221",42,1,138530
"STK2365287",42,1,112400
"STK656071",42,1,162050
"STK2371128",42,2,290850
"STK2365550",42,1,141499
"STK1519034",42,1,139510
"STK1660531",42,1,122430
"STK2386825",42,1,283350
"STK1547217",28,5,849722.48
"STK2382087",42,1,138800
"STK2381566",42,1,159700
"STK2384282",42,1,122500
"STK2385969",42,1,164500
"STK2382446",42,1,108800
"STK2379633",42,2,158000
"STK2384826",42,1,159000
"STK2382084",42,1,200000
"STK2371438",42,1,146000
"STK2373279",42,2,305000
"STK2373466",42,1,166900
"STK2372425",42,1,150150
"STK2367312",42,2,436630
"STK967021",42,3,260500
"STK2372139",42,1,227100
"STK2379268",42,1,132700
"STK2380327",42,1,137900
"STK1948527",42,1,149650
"STK2372420",42,1,164465
"STK1353913",42,1,162000
"STK2369786",42,1,164500
"STK2374164",42,1,206400
"STK2375485",42,1,51500
"STK2376161",42,1,174950
"STK2379974",42,1,164850
"STK2365244",42,1,164850
"STK2083160",42,1,105000
"STK2368195",42,2,284800
"STK2373914",42,1,128000
"STK2366824",42,1,164850
"STK2379745",42,1,300510
"STK2366293",42,1,74510
"STK1966813",55,2,154030
"STK2375623",42,3,508300
"STK2370512",42,1,143499
"STK2373447",42,1,164850
"STK212449",117,2,171030
"STK1532637",42,1,165000
"STK2379535",42,1,148700
"STK2374583",42,1,122500
"STK2368338",42,1,169050
"STK2363471",42,1,164800
"STK2382291",42,1,167930
"STK1726536",42,1,127250
"STK2386781",42,1,267750
"STK2384503",42,1,450000
"STK2368542",42,1,164800
"STK2374122",42,1,139500
"STK2366617",42,1,173495
"STK2370715",42,1,173495
"STK2365848",42,1,164710
"STK2368335",42,1,184450
"STK2372038",42,1,75500
"STK2374483",42,1,119000
"STK2375885",42,1,149000
"STK2369744",42,1,147000
"STK2371018",42,1,173495
"STK2379637",42,1,200000
"STK2373407",42,2,208499
"STK2380915",42,1,159250
"STK1514197",42,1,107000
"STK2186227",42,1,164850
"STK1704286",55,3,369858
"STK2369799",42,1,87000
"STK2015473",69,2,423922
"STK2362734",42,1,100000
"STK2369004",42,1,169050
"STK2307115",44,2,260540
"STK1943864",42,1,173495
"STK2371872",42,1,174299
"STK2385940",42,1,139510
"STK1322539",42,1,167930
"STK1686417",42,1,164850
"STK1594700",42,2,377750
"STK2388691",42,2,193000
"STK2385786",42,1,137000
"STK2389084",42,1,234500
"STK2381843",42,1,171150
"STK944759",42,1,130000
"STK1583943",42,2,288000
"STK2369159",42,1,164500
"STK1243853",42,1,146999
"STK2377133",42,1,275660
"STK2369876",42,1,110700
"STK2375911",42,1,290500
"STK2380023",42,1,150900
"STK1428878",42,1,174999
"STK2378512",42,1,138600
"STK2376063",42,1,159000
"STK2380171",42,1,104100
"STK2369056",42,1,117600
"STK2374127",42,1,164500
"STK1622910",42,1,94500
"STK2368745",42,1,164850
"STK2369049",42,1,148750
"STK2365066",42,1,87500
"STK2377358",42,1,171150
"STK2366254",42,1,146000
"STK2372535",42,1,290500
"STK2382812",42,1,155200
"STK2384913",42,1,253990
"STK2387073",42,1,120350
"STK2384176",42,1,150150
"STK776042",42,1,62000
"STK2017064",42,1,590000
"STK2224185",42,1,149300
"STK2384288",42,1,206430
"STK2381274",42,1,91800
"STK1399711",42,3,2480000
"STK2383238",42,1,117600
"STK2383540",42,1,162000
"STK2383752",42,1,173495
"STK2369420",42,1,43000
"STK2368499",42,3,8224500
"STK2378489",42,1,88000
"STK846194",42,1,60000
"STK2376366",42,1,146999
"STK839703",42,1,122500
"STK2366621",42,2,236998.1
"STK771933",42,1,143150
"STK1911336",63,2,250000
"STK2359032",42,1,227570
"STK2375369",42,1,91400
"STK2370923",42,1,167230
"STK2371956",42,1,100000
"STK2365303",42,2,290850
"STK2378797",42,1,145400
"STK2372957",42,3,726000
"STK2367522",42,1,164700
"STK2379393",42,1,164850
"STK2363774",42,1,157000
"STK324836",106,4,964850
"STK2383826",42,1,149000
"STK2382763",42,1,98630
"STK2387031",42,1,167230
"STK2375396",42,1,138509
"STK2389292",42,2,374490
"STK2389941",42,1,315000
"STK984681",42,1,120000
"STK2381060",42,1,120000
"STK2386826",42,1,164000
"STK2373393",42,1,171395
"STK2343622",42,2,303495
"STK2377629",42,1,164850
"STK713608",42,1,164600
"STK2043250",42,1,230000
"STK2366094",42,2,670900
"STK2377041",42,1,170590
"STK2375401",42,1,154000
"STK2373404",42,1,167230
"STK2367713",42,1,132930
"STK2374534",42,1,75600
"STK2369962",42,1,255154
"STK2033774",42,1,290500
"STK1584842",42,1,165400
"STK179587",130,4,495400
"STK2377598",42,2,154299
"STK2370873",42,1,128500
"STK2368082",42,1,145900
"STK2371563",42,1,164499
"STK2373644",42,2,329430
"STK982653",77,2,394650
"STK531401",42,1,212854
"STK2290840",42,1,103000
"STK2385804",42,1,91050
"STK1540939",45,2,419500
"STK2379814",42,1,149660
"STK2384366",42,1,105000
"STK2386797",42,1,164850
"STK2382070",42,1,164500
"STK2387849",42,1,139930
"STK870229",42,2,201930
"STK2384949",42,1,164850
"STK2387530",42,1,146000
"STK335386",105,3,362200
"STK1135298",42,1,84890
"STK2366239",42,1,164499
"STK2373588",42,1,164850
"STK1020716",42,2,278350
"STK2371679",42,1,164850
"STK2373152",42,1,167930
"STK2050278",42,1,105000
"STK2373919",42,1,159250
"STK2376773",42,2,229600
"STK1960382",61,2,323000
"STK2373757",42,1,125900
"STK2024738",68,7,3364850
"STK2365169",42,1,150500
"STK2374112",42,5,2609500
"STK2375417",42,1,66000
"STK1571519",42,2,191500
"STK2366789",42,1,138800
"STK2380337",42,1,267750
"STK2365737",42,2,290499
"STK2365420",42,2,230260
"STK403885",42,1,97000
"STK2372037",42,1,278000
"STK282593",42,3,876177.49
"STK344181",104,3,535707
"STK2368346",42,1,242500
"STK2374242",42,1,122500
"STK749415",75,2,331938
"STK2370847",42,1,152000
"STK415029",97,3,1585044.17
"STK2366725",42,2,289630
"STK2368202",42,1,138810
"STK2189617",42,1,198000
"STK2382192",42,1,115999
"STK2382167",42,1,114600
"STK2384830",42,1,173495
"STK2380955",42,1,164500
"STK2384236",42,1,161700
"STK2362602",42,1,118999
"STK2385958",42,1,158830
"STK644899",42,1,184450
"STK1882650",42,1,167230
"STK2380633",42,1,266000
"STK1101812",42,2,144000
"STK2368759",42,1,88000
"STK2369629",42,1,300000
"STK2372184",42,2,288400
"STK1324729",42,1,174700
"STK2148541",49,2,318500
"STK2371906",42,1,160930
"STK2371087",42,1,310000
"STK2376978",42,1,139510
"STK2369966",42,1,159000
"STK655027",42,1,117600
"STK2371502",42,1,167230
"STK2253436",45,4,709250
"STK2368297",42,1,77800
"STK2366113",42,1,95900
"STK1830240",42,1,140400
"STK2368526",42,1,164850
"STK2369027",42,1,183995
"STK2372614",42,2,335699
"STK2368672",42,1,139999
"STK2389287",42,1,183855
"STK2386413",42,1,122500
"STK2387889",42,1,95900
"STK2387869",42,1,122500
"STK2382080",42,2,197500
"STK2045486",69,3,594967
"STK2380920",42,1,139510
"STK2383982",42,1,132930
"STK2384707",42,1,163300
"STK2387404",42,2,293850
"STK2387449",42,1,290500
"STK2383949",42,1,89500
"STK2383388",42,1,115500
"STK2389516",42,1,164850
"STK2386110",42,1,122500
"STK2386370",42,1,171150
"STK1238269",42,2,593780
"STK2386931",42,1,290500
"STK2079856",42,1,144600
"STK2347796",42,1,149196
"STK2362691",42,1,154005
"STK2361460",42,1,290500
"STK2369916",42,1,61600
"STK2372662",42,1,261700
"STK2378051",42,1,234300
"STK2376624",42,2,235750
"STK966770",42,1,122150
"STK2367240",42,2,370500
"STK2378633",42,1,167230
"STK2378256",42,1,227570
"STK2379404",42,1,310457
"STK2378862",42,2,485500
"STK1652457",42,1,122500
"STK1607811",42,1,97400
"STK2374516",42,1,138400
"STK2018667",42,1,125500
"STK2366024",42,1,146999
"STK2365930",42,1,160230
"STK2366542",42,1,164850
"STK2375139",42,1,167230
"STK2369601",42,1,191250
"STK2367147",42,1,163499
"STK2369891",42,2,165550
"STK2368034",42,1,164710
"STK2276917",42,1,103600
"STK2386742",42,1,164850
"STK2378766",42,1,174950
"STK2383980",42,1,100000
"STK2382823",42,1,122500
"STK2389699",42,1,183000
"STK2384215",42,1,121400
"STK2381845",42,1,179000
"STK2387761",42,1,226600
"STK367820",102,2,335000
"STK2384775",42,1,159250
"STK2324218",42,1,101400
"STK2365581",42,1,158199
"STK2368808",42,1,163750
"STK2367566",42,1,272930
"STK2375582",42,1,307930
"STK1999687",42,1,161000
"STK2373657",42,1,164850
"STK2366706",42,2,273850
"STK1776918",42,1,164850
"STK2374167",42,1,121030
"STK2368905",42,1,140400
"STK1315120",42,1,82600
"STK2362243",42,2,434479
"STK2372833",42,1,178500
"STK2373007",42,1,169050
"STK2363004",42,1,160230
"STK2367690",42,1,138000
"STK2378852",42,2,186500
"STK2243654",42,1,100000
"STK2379316",42,1,162960
"STK1887498",42,2,275900
"STK2379600",42,1,146999
"STK2372265",42,1,96500
"STK2368309",42,1,92800
"STK1421108",42,1,139510
"STK2373623",42,1,137000
"STK2368798",42,1,154700
"STK2371996",42,1,87500
"STK1418570",42,1,149300
"STK2369943",42,1,100000
"STK2365456",42,1,157500
"STK2379098",42,1,97500
"STK1157524",42,1,98630
"STK1408851",42,1,90000
"STK2334387",42,1,84600
"STK2377189",42,1,164500
"STK2369228",42,1,125999
"STK67217",42,1,200000
"STK2366524",42,1,183100
"STK1457395",42,1,169000
"STK2375392",42,1,183190
"STK2342066",42,1,300500
"STK2374010",42,1,160500
"STK2383353",42,1,91974
"STK2380301",42,1,279900
"STK2384258",42,1,164850
"STK2382081",42,2,277350
"STK2387441",42,1,139510
"STK2377292",42,1,146999
"STK2389787",42,1,142400
"STK2382860",42,1,164800
"STK1479012",42,1,279930
"STK1093355",42,1,85620
"STK2022897",42,1,164850
"STK2374101",42,1,157400
"STK1902714",42,1,164850
"STK2366675",42,1,91000
"STK2368480",42,1,184600
"STK2376045",42,1,227570
"STK2377825",42,1,117600
"STK2370645",42,1,277900
"STK2376620",42,1,139500
"STK1996889",66,4,3034000
"STK2365952",42,1,167230
"STK2368257",42,1,124370
"STK703825",81,2,294850
"STK1299285",42,2,296800
"STK2337904",42,1,315000
"STK1508888",42,1,122500
"STK2374463",42,1,171800
"STK2365818",42,1,88000
"STK2380722",42,1,167230
"STK2376259",42,1,122500
"STK1972294",64,4,700580
"STK2372852",42,1,307930
"STK2367109",42,1,98000
"STK1549407",70,5,844404
"STK2367306",42,1,195310
"STK2373435",42,1,200000
"STK2369919",42,2,200530
"STK2376910",42,2,269230
"STK2372036",42,1,290500
"STK1972294",64,4,700580
"STK2365558",42,1,103950
"STK2375583",42,1,125999
"STK379332",101,3,415500
"STK2221623",42,1,150000
"STK2368740",42,1,290000
"STK2386625",42,1,115000
"STK877637",42,1,122500
"STK2381047",42,1,122500
"STK1941479",68,2,568087
"STK909584",42,1,158850
"STK419083",42,2,246850
"STK2027476",42,1,132211
"STK2381890",42,1,226650
"STK2379930",42,1,164850
"STK2370612",42,2,618849
"STK2281291",42,2,238000
"STK2366213",42,1,148700
"STK2375229",42,1,168000
"STK2371622",42,1,163300
"STK2365878",42,1,164499
"STK2366090",42,1,164850
"STK2365424",42,1,121030
"STK2356838",42,1,164700
"STK554851",45,2,419958
"STK2373024",42,1,159250
"STK2378338",42,1,145200
"STK2368978",42,6,2820500
"STK2375997",42,2,290800
"STK2370976",42,1,290500
"STK2373546",42,1,290500
"STK2354153",42,1,161450
"STK2181870",42,1,122700
"STK2372830",42,1,164500
"STK2370380",42,1,167999
"STK2374236",42,1,90000
"STK2366406",42,1,168850
"STK2370041",42,1,164850
"STK2366679",42,1,117600
"STK2217417",42,1,146000
"STK1023384",42,1,201400
"STK2358938",42,1,185500
"STK2366567",42,1,127000
"STK144935",168,2,377000
"STK2370543",42,1,122500
"STK2367232",42,1,293000
"STK2369236",42,1,174950
"STK2386609",42,1,148700
"STK2385003",42,1,155000
"STK2387021",42,1,164850
"STK2387364",42,1,173450
"STK2386706",42,2,109006.52
"STK2387849",42,1,139930
"STK1842688",42,2,303495
"STK2365212",42,1,138150
"STK2188936",42,1,224600
"STK2379022",42,2,206499
"STK2367838",42,1,174950
"STK754137",42,1,173495
"STK2365946",42,1,184300
"STK2377714",42,2,293495
"STK2366521",42,1,128800
"STK660857",42,1,167230
"STK2373198",42,1,290500
"STK2365258",42,2,347830
"STK136411",179,2,209230
"STK2386736",42,1,125550
"STK2389429",42,1,148750
"STK193175",42,1,139500
"STK2383769",42,1,279930
"STK1946342",69,3,941539
"STK2374427",42,1,173495
"STK2371237",42,3,215500
"STK2372203",42,1,149660
"STK2365352",42,2,289235.89
"STK478535",42,1,108000
"STK1380021",42,1,91000
"STK2369651",42,2,791400
"STK2068419",42,1,147000
"STK1648392",42,2,650850
"STK723176",80,2,137000
"STK2367970",42,1,79930
"STK2343409",42,1,156734
"STK2373575",42,1,138300
"STK2377384",42,1,175630
"STK2379161",42,1,227000
"STK1644823",42,1,227570
"STK2366286",42,1,247400
"STK2378626",42,1,94600
"STK2372200",42,1,160600
"STK2365346",42,1,283850
"STK2378215",42,1,98630
"STK2363747",42,1,103900
"STK2366559",42,1,148500
"STK2373302",42,2,278350
"STK2371916",42,1,60500
"STK2367421",42,1,99100
"STK2381019",42,1,132930
"STK2386239",42,1,135000
"STK1652525",42,1,166200
"STK1790553",42,1,143499
"STK2384371",42,1,164850
"STK2389739",42,1,117600
"STK2382366",42,1,160000
"STK2387224",42,1,310000
"STK2389271",42,2,382000
"STK2384084",42,1,142633
"STK1199743",42,3,1687000
"STK2384463",42,1,89499
"STK2377787",42,1,98630
"STK335010",42,1,167200
"STK2371782",42,1,164900
"STK2371168",42,2,324700
"STK2367668",42,1,135000
"STK2372915",42,1,262430
"STK2365545",42,1,144050
"STK1099982",42,1,167230
"STK2374341",42,1,164850
"STK2375395",42,1,149350
"STK2374142",42,1,125999
"STK2370251",42,1,177200
"STK2374622",42,1,164500
"STK1030210",78,2,337089
"STK2371727",42,1,159350
"STK2374311",42,2,216877.63
"STK2365673",42,1,267000
"STK2371680",42,1,167230
"STK2362412",42,1,150141
"STK941833",42,2,268230
"STK2378780",42,1,164800
"STK2366757",42,1,160000
"STK2368756",42,1,158900
"STK2375752",42,1,141000
"STK2366001",42,1,100100
"STK2368468",42,1,136430
"STK2376666",42,1,227570
"STK2215743",42,2,570749.56
"STK2370830",42,1,87500
"STK2376747",42,1,164850
"STK2376801",42,1,84200
"STK715064",80,4,1686925
"STK2367500",42,1,164800
"STK2369729",42,1,162060
"STK1552998",65,2,371900
"STK2025126",64,2,540000
"STK2387412",42,1,307930
"STK2386727",42,1,135000
"STK2381356",42,1,166900
"STK2382079",42,8,2318144.26
"STK156796",154,2,280800
"STK1368856",42,1,164850
"STK895561",42,1,164800
"STK2370968",42,1,164850
"STK2379599",42,1,124350
"STK2365924",42,1,156499
"STK862234",42,1,98630
"STK536795",42,1,164900
"STK2370908",42,1,122500
"STK2374325",42,1,147000
"STK2377090",42,1,164410
"STK2371086",42,1,109200
"STK2370270",42,1,164500
"STK2369554",42,1,159250
"STK2377838",42,1,117600
"STK2370845",42,2,276850
"STK2376260",42,1,150000
"STK2297180",42,1,150850
"STK2028244",42,1,152850
"STK2377868",42,1,234900
"STK2367432",42,1,113800
"STK2387169",42,1,226600
"STK2383508",42,2,302800
"STK2384727",42,1,164850
"STK2380163",42,1,286400
"STK2388275",42,1,162000
"STK2388933",42,1,206430
"STK1555632",66,2,299700
"STK2383549",42,1,140400
"STK30083",58,4,1366500
"STK1412861",42,1,118999
"STK2370804",42,1,165000
"STK2369046",42,1,164850
"STK1957345",69,3,1826766
"STK2366810",42,2,165000
"STK1183163",42,1,167230
"STK2375275",42,1,149660
"STK2370982",42,1,173495
"STK1083999",42,1,208000
"STK2365387",42,2,1976700
"STK2366991",42,1,164850
"STK2375727",42,1,164850
"STK2371470",42,1,164000
"STK2365265",42,1,160230
"STK2371365",42,1,100100
"STK2374358",42,1,154600
"STK2366123",42,4,527644.7
"STK2367962",42,1,123700
"STK2369344",42,1,148750
"STK2366989",42,1,130000
"STK2386611",41,1,350000
"STK2379351",42,1,283850
"STK2384613",42,1,238000
"STK2381363",42,1,167230
"STK977038",42,1,100100
"STK2384741",42,1,227570
"STK2389674",42,1,97000
"STK1389207",42,1,101500
"STK2370954",42,2,327426
"STK2374924",42,1,216500
"STK2378942",42,1,171150
"STK2373955",42,2,345400
"STK426526",42,1,184000
"STK2302058",42,1,148750
"STK2365449",42,1,103950
"STK2366896",42,1,164850
"STK2371610",42,1,164850
"STK1376292",42,2,285155
"STK1553623",66,2,397900
