"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"PDMBA005615","STK2367601","MOTOR BICYCLE ","LEASING",164000,09-01-17,38.73,"EFFECTIVE_RATE",36,7769,"VEHICLE",235500,-30,"PERFORMING"
"BMMBA012077","STK2369401","MOTOR BICYCLE ","LEASING",164850,10-01-17,34.73,"EFFECTIVE_RATE",48,6398,"VEHICLE",235500,29.7,"PERFORMING"
"TBMBA011759","STK2031171","MOTOR BICYCLE ","LEASING",120000,19-01-17,28,"EFFECTIVE_RATE",18,8241,"VEHICLE",200000,-150,"PERFORMING"
"CWMBA010060","STK566060","MOTOR BICYCLE ","LEASING",132900,18-01-17,41.59,"EFFECTIVE_RATE",36,6518,"VEHICLE",189900,226.8,"NPL"
"CGMBA017841","STK2374424","MOTOR BICYCLE ","LEASING",290500,18-01-17,33.87,"EFFECTIVE_RATE",36,12956,"VEHICLE",415000,-60,"PERFORMING"
"KRMBA010024","STK2375911","MOTOR BICYCLE ","LEASING",290500,23-01-17,38.87,"EFFECTIVE_RATE",36,13786,"VEHICLE",415000,176.4,"PERFORMING"
"NGMBA015533","STK2379483","MOTOR BICYCLE ","LEASING",238000,24-01-17,39.35,"EFFECTIVE_RATE",36,11361,"VEHICLE",340000,-90,"PERFORMING"
"ANMBA008913","STK2361977","MOTOR BICYCLE ","LEASING",100000,23-01-17,41.36,"EFFECTIVE_RATE",24,6193,"VEHICLE",198300,-414,"PERFORMING"
"POMBA010538","STK1013397","MOTOR BICYCLE ","LEASING",164500,24-01-17,39.04,"EFFECTIVE_RATE",48,6819,"VEHICLE",235500,-1063.2,"PERFORMING"
"PGMBA011166","STK2379582","MOTOR BICYCLE ","LEASING",88250,23-01-17,28,"EFFECTIVE_RATE",24,4844,"VEHICLE",169999,-300,"PERFORMING"
"GNMBA015296","STK2031411","MOTOR BICYCLE ","LEASING",175000,16-01-17,32.86,"EFFECTIVE_RATE",24,10045,"VEHICLE",250000,300,"NPL"
"POMBA010325","STK338824","MOTOR BICYCLE ","LEASING",177240,17-01-17,40.76,"EFFECTIVE_RATE",36,8606,"VEHICLE",253200,-420,"PERFORMING"
"GPMBA015791","STK2246149","MOTOR BICYCLE ","LEASING",210000,19-01-17,38.93,"EFFECTIVE_RATE",24,12729,"VEHICLE",325000,-30,"PERFORMING"
"APMBA013030","STK2375275","MOTOR BICYCLE ","LEASING",149660,24-01-17,37.64,"EFFECTIVE_RATE",36,6996,"VEHICLE",213800,279.9,"NPL"
"NKMBA012013","STK1007343","MOTOR BICYCLE ","LEASING",145900,21-01-17,38.51,"EFFECTIVE_RATE",36,6893,"VEHICLE",215500,-360,"PERFORMING"
"APMBA013438","STK2302627","MOTOR BICYCLE ","LEASING",227570,31-01-17,42.78,"EFFECTIVE_RATE",24,14269,"VEHICLE",325100,-30,"PERFORMING"
"RTMBA013702","STK2376978","MOTOR BICYCLE ","LEASING",139510,31-01-17,42.13,"EFFECTIVE_RATE",36,6887,"VEHICLE",199300,140.4,"PERFORMING"
"NKMBA012004","STK2377279","MOTOR BICYCLE ","LEASING",95900,21-01-17,48.4,"EFFECTIVE_RATE",24,6312,"VEHICLE",235500,-30,"PERFORMING"
"KUMBA022074","STK2378754","MOTOR BICYCLE ","LEASING",164850,23-01-17,39.07,"EFFECTIVE_RATE",36,7842,"VEHICLE",235500,120,"PERFORMING"
"TBMBA011999","STK1432883","MOTOR BICYCLE ","LEASING",92500,24-01-17,40.16,"EFFECTIVE_RATE",18,6925,"VEHICLE",175000,-351,"PERFORMING"
"KRMBA010079","STK2379220","MOTOR BICYCLE ","LEASING",246400,23-01-17,41.78,"EFFECTIVE_RATE",24,15315,"VEHICLE",399900,-30,"PERFORMING"
"BMMBA012475","STK2379268","MOTOR BICYCLE ","LEASING",132700,23-01-17,39.5,"EFFECTIVE_RATE",24,8084,"VEHICLE",229500,300,"NPL"
"PGMBA010644","STK2366217","MOTOR BICYCLE ","LEASING",164850,04-01-17,28,"EFFECTIVE_RATE",12,15910,"VEHICLE",235500,240,"NPL"
"WPMBA006780","STK2351437","MOTOR BICYCLE ","LEASING",219275,06-01-17,39.55,"EFFECTIVE_RATE",36,10492,"VEHICLE",313250,-97.5,"PERFORMING"
"MTMBA010699","STK1946162","MOTOR BICYCLE ","LEASING",146100,10-01-17,35.16,"EFFECTIVE_RATE",36,6623,"VEHICLE",335000,-150,"PERFORMING"
"CGMBA017744","STK2374447","MOTOR BICYCLE ","LEASING",159250,17-01-17,37.55,"EFFECTIVE_RATE",36,7436,"VEHICLE",227500,-30,"PERFORMING"
"BMMBA012350","STK2377629","MOTOR BICYCLE ","LEASING",164850,20-01-17,34.75,"EFFECTIVE_RATE",48,6400,"VEHICLE",235500,81.3,"PERFORMING"
"NKMBA012022","STK1743290","MOTOR BICYCLE ","LEASING",85900,21-01-17,50.34,"EFFECTIVE_RATE",24,5747,"VEHICLE",235500,-135,"PERFORMING"
"NKMBA012086","STK2380023","MOTOR BICYCLE ","LEASING",150900,24-01-17,38.24,"EFFECTIVE_RATE",36,7106,"VEHICLE",235500,-60,"PERFORMING"
"KUMBA022384","STK2380327","MOTOR BICYCLE ","LEASING",137900,30-01-17,35.83,"EFFECTIVE_RATE",36,6303,"VEHICLE",198300,60,"PERFORMING"
"MNMBA008937","STK2379732","MOTOR BICYCLE ","LEASING",216999,31-01-17,42.53,"EFFECTIVE_RATE",24,13576,"VEHICLE",309999,-420.9,"PERFORMING"
"GNMBA015764","STK2135757","MOTOR BICYCLE ","LEASING",157500,25-01-17,41.29,"EFFECTIVE_RATE",36,7697,"VEHICLE",225000,0,"PERFORMING"
"DMMBA006629","STK2379928","MOTOR BICYCLE ","LEASING",227550,24-01-17,38.34,"EFFECTIVE_RATE",36,10729,"VEHICLE",325100,-150,"PERFORMING"
"KOMBA002539","STK961280","MOTOR BICYCLE ","LEASING",164850,24-01-17,39.94,"EFFECTIVE_RATE",36,7926,"VEHICLE",235500,-30,"PERFORMING"
"CGMBA018406","STK2024738","MOTOR BICYCLE ","LEASING",164850,25-01-17,42.11,"EFFECTIVE_RATE",24,10276,"VEHICLE",235500,30,"PERFORMING"
"THMBA006049","STK2365334","MOTOR BICYCLE ","LEASING",284550,05-01-17,34.78,"EFFECTIVE_RATE",36,12837,"VEHICLE",409900,158.4,"PERFORMING"
"KRMBA009606","STK2367051","MOTOR BICYCLE ","LEASING",290500,06-01-17,38.87,"EFFECTIVE_RATE",36,13786,"VEHICLE",415000,0,"PERFORMING"
"KPMBA012970","STK2367669","MOTOR BICYCLE ","LEASING",110600,06-01-17,40.72,"EFFECTIVE_RATE",36,5368,"VEHICLE",158000,-253.5,"PERFORMING"
"GPMBA015588","STK2371473","MOTOR BICYCLE ","LEASING",124450,14-01-17,41.24,"EFFECTIVE_RATE",36,6078,"VEHICLE",182450,-30,"PERFORMING"
"NGMBA015029","STK2372237","MOTOR BICYCLE ","LEASING",167230,16-01-17,40.78,"EFFECTIVE_RATE",36,8122,"VEHICLE",238900,-223.5,"PERFORMING"
"KBMBA013261","STK2376594","MOTOR BICYCLE ","LEASING",130500,19-01-17,63.89,"EFFECTIVE_RATE",12,14995,"VEHICLE",335000,-30,"PERFORMING"
"BDMBA008654","STK2377067","MOTOR BICYCLE ","LEASING",109550,20-01-17,42.92,"EFFECTIVE_RATE",24,6878,"VEHICLE",155000,0,"PERFORMING"
"GPMBA015959","STK478535","MOTOR BICYCLE ","LEASING",108000,23-01-17,34.28,"EFFECTIVE_RATE",30,5409,"VEHICLE",155000,30,"PERFORMING"
"CWMBA010228","STK2376045","MOTOR BICYCLE ","LEASING",227570,23-01-17,39.77,"EFFECTIVE_RATE",36,10918,"VEHICLE",325100,190.2,"NPL"
"BTMBA015436","STK2377445","MOTOR BICYCLE ","LEASING",145000,20-01-17,33.51,"EFFECTIVE_RATE",36,6438,"VEHICLE",235500,-60,"PERFORMING"
"TBMBA011795","STK2377344","MOTOR BICYCLE ","LEASING",105000,20-01-17,28,"EFFECTIVE_RATE",24,5764,"VEHICLE",175000,90,"PERFORMING"
"BLMBA009262","STK2377825","MOTOR BICYCLE ","LEASING",117600,23-01-17,43.14,"EFFECTIVE_RATE",36,5876,"VEHICLE",168000,-360,"PERFORMING"
"BMMBA012402","STK754137","MOTOR BICYCLE ","LEASING",173495,23-01-17,35.38,"EFFECTIVE_RATE",48,6802,"VEHICLE",247850,-354.9,"PERFORMING"
"BLMBA009255","STK2377843","MOTOR BICYCLE ","LEASING",117600,23-01-17,43.67,"EFFECTIVE_RATE",36,5913,"VEHICLE",168000,-210,"PERFORMING"
"BMMBA011670","STK2365211","MOTOR BICYCLE ","LEASING",125930,03-01-17,38.29,"EFFECTIVE_RATE",36,5934,"VEHICLE",179900,0,"PERFORMING"
"NAMBA007633","STK2365705","MOTOR BICYCLE ","LEASING",126000,04-01-17,42.69,"EFFECTIVE_RATE",36,6262,"VEHICLE",179999,-30,"PERFORMING"
"KTMBA008678","STK497758","MOTOR BICYCLE ","LEASING",160230,03-01-17,41.93,"EFFECTIVE_RATE",36,7891,"VEHICLE",228900,808.5,"NPL"
"KRMBA009637","STK2368804","MOTOR BICYCLE ","LEASING",173495,09-01-17,40.21,"EFFECTIVE_RATE",36,8369,"VEHICLE",247850,-30,"PERFORMING"
"NGMBA014853","STK2368905","MOTOR BICYCLE ","LEASING",140400,09-01-17,65.29,"EFFECTIVE_RATE",12,16237,"VEHICLE",238900,30,"PERFORMING"
"BTMBA014871","STK426526","MOTOR BICYCLE ","LEASING",184000,10-01-17,39,"EFFECTIVE_RATE",36,8746,"VEHICLE",263500,0,"PERFORMING"
"ARMBA013049","STK2368335","MOTOR BICYCLE ","LEASING",184450,11-01-17,28,"EFFECTIVE_RATE",24,10125,"VEHICLE",263500,0,"PERFORMING"
"ARMBA013119","STK966770","MOTOR BICYCLE ","LEASING",122150,11-01-17,41.53,"EFFECTIVE_RATE",36,5987,"VEHICLE",174500,-60,"PERFORMING"
"CGMBA017595","STK648277","MOTOR BICYCLE ","LEASING",159600,17-01-17,34.2,"EFFECTIVE_RATE",36,7148,"VEHICLE",235500,0,"PERFORMING"
"POMBA010264","STK2372038","MOTOR BICYCLE ","LEASING",75500,16-01-17,28,"EFFECTIVE_RATE",12,7287,"VEHICLE",235500,60,"PERFORMING"
"KBMBA013094","STK2372724","MOTOR BICYCLE ","LEASING",169000,16-01-17,45.02,"EFFECTIVE_RATE",24,10805,"VEHICLE",241500,0,"PERFORMING"
"BKMBA005370","STK2372052","MOTOR BICYCLE ","LEASING",174950,17-01-17,40.59,"EFFECTIVE_RATE",36,8478,"VEHICLE",249950,201.6,"NPL"
"MGMBA018460","STK2207036","MOTOR BICYCLE ","LEASING",164850,10-01-17,28.24,"EFFECTIVE_RATE",12,15929,"VEHICLE",235500,0,"PERFORMING"
"ARMBA012554","STK2366724","MOTOR BICYCLE ","LEASING",163350,04-01-17,29.14,"EFFECTIVE_RATE",36,6858,"VEHICLE",235500,0,"PERFORMING"
"NYMBA008234","STK1550080","MOTOR BICYCLE ","LEASING",307400,09-01-17,30.75,"EFFECTIVE_RATE",24,17307,"VEHICLE",439900,-30,"PERFORMING"
"HGMBA011096","STK2363508","MOTOR BICYCLE ","LEASING",370000,06-01-17,34.22,"EFFECTIVE_RATE",36,16575,"VEHICLE",530000,138,"PERFORMING"
"ARMBA013331","STK2368236","MOTOR BICYCLE ","LEASING",164350,16-01-17,40.5,"EFFECTIVE_RATE",36,7955,"VEHICLE",247850,-30,"PERFORMING"
"ARMBA012943","STK1423571","MOTOR BICYCLE ","LEASING",161048,10-01-17,31.66,"EFFECTIVE_RATE",36,6984,"VEHICLE",234999,-119.7,"PERFORMING"
"PLMBA014747","STK713608","MOTOR BICYCLE ","LEASING",164600,11-01-17,37.09,"EFFECTIVE_RATE",24,9815,"VEHICLE",235500,30,"PERFORMING"
"ARMBA012989","STK2370226","MOTOR BICYCLE ","LEASING",164850,11-01-17,40.17,"EFFECTIVE_RATE",36,7948,"VEHICLE",235500,-30,"PERFORMING"
"CGMBA017461","STK2370836","MOTOR BICYCLE ","LEASING",164000,16-01-17,37.26,"EFFECTIVE_RATE",36,7630,"VEHICLE",235500,0,"PERFORMING"
"ARMBA013191","STK1752450","MOTOR BICYCLE ","LEASING",148750,13-01-17,40.67,"EFFECTIVE_RATE",36,7215,"VEHICLE",212500,868.5,"NPL"
"GPMBA016073","STK2373019","MOTOR BICYCLE ","LEASING",100000,24-01-17,40.28,"EFFECTIVE_RATE",24,6134,"VEHICLE",145000,30,"PERFORMING"
"MVMBA005103","STK2379357","MOTOR BICYCLE ","LEASING",110500,23-01-17,32.75,"EFFECTIVE_RATE",12,10923,"VEHICLE",221400,-30,"PERFORMING"
"APMBA013216","STK1099982","MOTOR BICYCLE ","LEASING",167230,30-01-17,39.67,"EFFECTIVE_RATE",36,8014,"VEHICLE",238900,0,"PERFORMING"
"TDMBA004670","STK2379599","MOTOR BICYCLE ","LEASING",124350,23-01-17,44.39,"EFFECTIVE_RATE",24,7907,"VEHICLE",247850,-30,"PERFORMING"
"GRMBA003987","STK1953267","MOTOR BICYCLE ","LEASING",126000,03-01-17,40.25,"EFFECTIVE_RATE",24,7727,"VEHICLE",180000,-330,"PERFORMING"
"VWMBA008579","STK2365460","MOTOR BICYCLE ","LEASING",195339,03-01-17,29.41,"EFFECTIVE_RATE",24,10863,"VEHICLE",325100,0,"PERFORMING"
"NCMBA005202","STK2366203","MOTOR BICYCLE ","LEASING",164850,04-01-17,39.92,"EFFECTIVE_RATE",36,7924,"VEHICLE",235500,30,"PERFORMING"
"ARMBA012332","STK2366621","MOTOR BICYCLE ","LEASING",169050,04-01-17,40.06,"EFFECTIVE_RATE",36,8139,"VEHICLE",241500,-334.8,"PERFORMING"
"BMMBA012059","STK2366995","MOTOR BICYCLE ","LEASING",121030,05-01-17,38.48,"EFFECTIVE_RATE",36,5716,"VEHICLE",172900,-150,"PERFORMING"
"NGMBA014774","STK1851957","MOTOR BICYCLE ","LEASING",307930,06-01-17,35.9,"EFFECTIVE_RATE",36,14087,"VEHICLE",439900,-84.9,"PERFORMING"
"BMMBA012013","STK2367240","MOTOR BICYCLE ","LEASING",198000,05-01-17,39.62,"EFFECTIVE_RATE",24,12075,"VEHICLE",359900,30,"PERFORMING"
"VWMBA008845","STK2368163","MOTOR BICYCLE ","LEASING",137000,11-01-17,61.85,"EFFECTIVE_RATE",12,15592,"VEHICLE",235500,90,"PERFORMING"
"GNMBA015393","STK1315120","MOTOR BICYCLE ","LEASING",82600,18-01-17,48.03,"EFFECTIVE_RATE",24,5419,"VEHICLE",118000,168.3,"PERFORMING"
"BTMBA015287","STK1798164","MOTOR BICYCLE ","LEASING",167999,16-01-17,45.42,"EFFECTIVE_RATE",24,10778,"VEHICLE",239999,-180,"PERFORMING"
"NAMBA007947","STK2374687","MOTOR BICYCLE ","LEASING",164150,19-01-17,28,"EFFECTIVE_RATE",12,15842,"VEHICLE",235500,-60,"PERFORMING"
"KRMBA010060","STK2378122","MOTOR BICYCLE ","LEASING",109800,23-01-17,42.76,"EFFECTIVE_RATE",24,6884,"VEHICLE",198300,-30,"PERFORMING"
"PLMBA015269","STK1557784","MOTOR BICYCLE ","LEASING",164850,24-01-17,36.46,"EFFECTIVE_RATE",36,7595,"VEHICLE",235500,204.6,"NPL"
"ANMBA008548","STK2366281","MOTOR BICYCLE ","LEASING",108050,05-01-17,42.29,"EFFECTIVE_RATE",24,6746,"VEHICLE",170000,60,"PERFORMING"
"PLMBA014589","STK2001638","MOTOR BICYCLE ","LEASING",300000,10-01-17,38.15,"EFFECTIVE_RATE",18,22145,"VEHICLE",535000,60,"PERFORMING"
"PDMBA005639","STK2367581","MOTOR BICYCLE ","LEASING",164000,10-01-17,41.35,"EFFECTIVE_RATE",36,8020,"VEHICLE",235500,-90,"PERFORMING"
"NGMBA014905","STK2369666","MOTOR BICYCLE ","LEASING",206430,10-01-17,39.53,"EFFECTIVE_RATE",36,9875,"VEHICLE",294900,291.6,"NPL"
"GNMBA015524","STK2044152","MOTOR BICYCLE ","LEASING",121030,19-01-17,42.52,"EFFECTIVE_RATE",24,7572,"VEHICLE",172900,-30,"PERFORMING"
"ARMBA013395","STK2374109","MOTOR BICYCLE ","LEASING",146999,17-01-17,40.71,"EFFECTIVE_RATE",36,7134,"VEHICLE",209999,-90,"PERFORMING"
"BMMBA012271","STK2374204","MOTOR BICYCLE ","LEASING",276500,17-01-17,38.07,"EFFECTIVE_RATE",30,14424,"VEHICLE",415000,-30,"PERFORMING"
"BMMBA012244","STK2374341","MOTOR BICYCLE ","LEASING",164850,17-01-17,37.19,"EFFECTIVE_RATE",36,7663,"VEHICLE",235500,-60,"PERFORMING"
"APMBA012855","STK2043250","MOTOR BICYCLE ","LEASING",230000,18-01-17,28,"EFFECTIVE_RATE",36,9514,"VEHICLE",330000,-709.8,"PERFORMING"
"MPMBA009545","STK2375997","MOTOR BICYCLE ","LEASING",164800,23-01-17,38.4,"EFFECTIVE_RATE",36,7776,"VEHICLE",235500,0,"PERFORMING"
"MGMBA019131","STK2378158","MOTOR BICYCLE ","LEASING",267750,23-01-17,35.6,"EFFECTIVE_RATE",36,12204,"VEHICLE",382500,-30,"PERFORMING"
"MGMBA019104","STK2378238","MOTOR BICYCLE ","LEASING",167230,21-01-17,45.09,"EFFECTIVE_RATE",24,10698,"VEHICLE",238900,-210,"PERFORMING"
"MHMBA009859","STK2378639","MOTOR BICYCLE ","LEASING",117500,24-01-17,40.62,"EFFECTIVE_RATE",36,5696,"VEHICLE",168000,0,"PERFORMING"
"NGMBA015409","STK2378743","MOTOR BICYCLE ","LEASING",115992,23-01-17,36.41,"EFFECTIVE_RATE",24,6875,"VEHICLE",199300,-30,"PERFORMING"
"CGMBA018257","STK2378749","MOTOR BICYCLE ","LEASING",87000,23-01-17,79.55,"EFFECTIVE_RATE",12,10739,"VEHICLE",235500,-60,"PERFORMING"
"MPMBA009262","STK698657","MOTOR BICYCLE ","LEASING",283500,13-01-17,53.45,"EFFECTIVE_RATE",12,31009,"VEHICLE",405500,30,"PERFORMING"
"PLMBA014765","STK2370945","MOTOR BICYCLE ","LEASING",164850,13-01-17,36.46,"EFFECTIVE_RATE",36,7595,"VEHICLE",235500,30,"PERFORMING"
"KTMBA008944","STK2370863","MOTOR BICYCLE ","LEASING",123500,16-01-17,29.41,"EFFECTIVE_RATE",24,6868,"VEHICLE",213800,30,"PERFORMING"
"RTMBA012925","STK2372770","MOTOR BICYCLE ","LEASING",213130,16-01-17,37.13,"EFFECTIVE_RATE",36,9900,"VEHICLE",325100,-60,"PERFORMING"
"KNMBA012882","STK2371692","MOTOR BICYCLE ","LEASING",149800,24-01-17,36,"EFFECTIVE_RATE",30,7643,"VEHICLE",213800,120,"PERFORMING"
"ARMBA013492","STK2186874","MOTOR BICYCLE ","LEASING",153000,19-01-17,36.95,"EFFECTIVE_RATE",36,7092,"VEHICLE",219900,-512.7,"PERFORMING"
"NCMBA005509","STK2374348","MOTOR BICYCLE ","LEASING",167230,20-01-17,40.76,"EFFECTIVE_RATE",36,8120,"VEHICLE",238900,-749.7,"PERFORMING"
"VWMBA009002","STK2375476","MOTOR BICYCLE ","LEASING",235100,18-01-17,40.23,"EFFECTIVE_RATE",24,14415,"VEHICLE",338300,90,"PERFORMING"
"MRMBA010185","STK2376164","MOTOR BICYCLE ","LEASING",272400,19-01-17,39.64,"EFFECTIVE_RATE",36,13049,"VEHICLE",409900,-30,"PERFORMING"
"PTMBA007435","STK2374873","MOTOR BICYCLE ","LEASING",128810,23-01-17,41.63,"EFFECTIVE_RATE",24,7996,"VEHICLE",198300,-90,"PERFORMING"
"RTMBA013270","STK2038068","MOTOR BICYCLE ","LEASING",99000,24-01-17,36.53,"EFFECTIVE_RATE",18,7226,"VEHICLE",165000,-60,"PERFORMING"
"PLMBA015126","STK2302058","MOTOR BICYCLE ","LEASING",148750,21-01-17,37.09,"EFFECTIVE_RATE",36,6906,"VEHICLE",212500,139.2,"PERFORMING"
"KRMBA009521","STK2366739","MOTOR BICYCLE ","LEASING",138810,05-01-17,40.31,"EFFECTIVE_RATE",36,6704,"VEHICLE",198300,0,"PERFORMING"
"BTMBA014640","STK2367447","MOTOR BICYCLE ","LEASING",116000,06-01-17,50.28,"EFFECTIVE_RATE",24,7757,"VEHICLE",214500,0,"PERFORMING"
"NKMBA011616","STK2366094","MOTOR BICYCLE ","LEASING",145900,11-01-17,44.38,"EFFECTIVE_RATE",18,11245,"VEHICLE",235500,-90,"PERFORMING"
"MPMBA009095","STK2367495","MOTOR BICYCLE ","LEASING",164800,10-01-17,43.34,"EFFECTIVE_RATE",24,10384,"VEHICLE",235500,0,"PERFORMING"
"NKMBA011528","STK2368633","MOTOR BICYCLE ","LEASING",110000,09-01-17,33.92,"EFFECTIVE_RATE",24,6375,"VEHICLE",180000,0,"PERFORMING"
"WPMBA006872","STK2370645","MOTOR BICYCLE ","LEASING",277900,11-01-17,33.94,"EFFECTIVE_RATE",36,12405,"VEHICLE",397000,92.7,"PERFORMING"
"ARMBA013085","STK757962","MOTOR BICYCLE ","LEASING",164850,11-01-17,41.07,"EFFECTIVE_RATE",36,8035,"VEHICLE",235500,-3.9,"PERFORMING"
"NAMBA007817","STK2372292","MOTOR BICYCLE ","LEASING",257320,16-01-17,38.31,"EFFECTIVE_RATE",36,12128,"VEHICLE",367600,0,"PERFORMING"
"HGMBA011555","STK1365180","MOTOR BICYCLE ","LEASING",159000,26-01-17,41.82,"EFFECTIVE_RATE",36,7820,"VEHICLE",227500,0,"PERFORMING"
"KKMBA006452","STK2371275","MOTOR BICYCLE ","LEASING",95130,18-01-17,40.57,"EFFECTIVE_RATE",36,4609,"VEHICLE",135900,0,"PERFORMING"
"PLMBA015001","STK1263591","MOTOR BICYCLE ","LEASING",227000,20-01-17,39.53,"EFFECTIVE_RATE",24,13833,"VEHICLE",380000,-30,"PERFORMING"
"AWMBA007206","STK2377533","MOTOR BICYCLE ","LEASING",122500,27-01-17,43.53,"EFFECTIVE_RATE",36,6149,"VEHICLE",175000,60,"PERFORMING"
"GNMBA014969","STK2366047","MOTOR BICYCLE ","LEASING",114500,09-01-17,43.42,"EFFECTIVE_RATE",24,7220,"VEHICLE",168000,-150,"PERFORMING"
"ANMBA008654","STK2365924","MOTOR BICYCLE ","LEASING",156499,10-01-17,42.05,"EFFECTIVE_RATE",36,7718,"VEHICLE",234999,-30,"PERFORMING"
"PTMBA007299","STK2370120","MOTOR BICYCLE ","LEASING",238000,16-01-17,39.53,"EFFECTIVE_RATE",36,11386,"VEHICLE",340000,479.7,"NPL"
"WPMBA006896","STK2370982","MOTOR BICYCLE ","LEASING",173495,11-01-17,40.65,"EFFECTIVE_RATE",36,8413,"VEHICLE",247850,171,"PERFORMING"
"KKMBA006520","STK2377382","MOTOR BICYCLE ","LEASING",51400,23-01-17,66.69,"EFFECTIVE_RATE",24,3930,"VEHICLE",189900,0,"PERFORMING"
"NGMBA015791","STK2379364","MOTOR BICYCLE ","LEASING",167930,27-01-17,50.33,"EFFECTIVE_RATE",18,13476,"VEHICLE",239900,-120,"PERFORMING"
"MWMBA015153","STK1083999","MOTOR BICYCLE ","LEASING",208000,24-01-17,37.7,"EFFECTIVE_RATE",36,9730,"VEHICLE",310000,-60,"PERFORMING"
"PGMBA011193","STK862234","MOTOR BICYCLE ","LEASING",98630,25-01-17,45.05,"EFFECTIVE_RATE",24,6308,"VEHICLE",140900,90,"PERFORMING"
"CGMBA018336","STK2380041","MOTOR BICYCLE ","LEASING",164000,25-01-17,38.35,"EFFECTIVE_RATE",36,7733,"VEHICLE",235500,-60,"PERFORMING"
"CGMBA018770","STK2380575","MOTOR BICYCLE ","LEASING",330000,31-01-17,28,"EFFECTIVE_RATE",36,13650,"VEHICLE",480000,-330,"PERFORMING"
"VWMBA008548","STK2362243","MOTOR BICYCLE ","LEASING",285000,02-01-17,34.67,"EFFECTIVE_RATE",30,14333,"VEHICLE",415000,-387,"PERFORMING"
"BMMBA011625","STK2365169","MOTOR BICYCLE ","LEASING",150500,03-01-17,35.05,"EFFECTIVE_RATE",48,5870,"VEHICLE",215000,82.2,"PERFORMING"
"TRMBA010097","STK2365946","MOTOR BICYCLE ","LEASING",184300,03-01-17,38.22,"EFFECTIVE_RATE",24,11101,"VEHICLE",325100,-30,"PERFORMING"
"NTMBA007855","STK2370191","MOTOR BICYCLE ","LEASING",234000,17-01-17,41.13,"EFFECTIVE_RATE",24,14462,"VEHICLE",415000,-30,"PERFORMING"
"ARMBA013128","STK2370068","MOTOR BICYCLE ","LEASING",135700,11-01-17,36.5,"EFFECTIVE_RATE",36,6255,"VEHICLE",199999,275.7,"NPL"
"ANMBA008708","STK2359530","MOTOR BICYCLE ","LEASING",130000,13-01-17,42.02,"EFFECTIVE_RATE",24,8097,"VEHICLE",230000,-390,"PERFORMING"
"MRMBA009972","STK2371083","MOTOR BICYCLE ","LEASING",286930,13-01-17,39.18,"EFFECTIVE_RATE",36,13668,"VEHICLE",409900,114,"PERFORMING"
"GLMBA012077","STK469836","MOTOR BICYCLE ","LEASING",100000,19-01-17,35.4,"EFFECTIVE_RATE",24,5873,"VEHICLE",150000,0,"PERFORMING"
"GNMBA015269","STK2048184","MOTOR BICYCLE ","LEASING",173500,16-01-17,33.64,"EFFECTIVE_RATE",36,7716,"VEHICLE",247850,0,"PERFORMING"
"BTMBA015375","STK2375768","MOTOR BICYCLE ","LEASING",157500,19-01-17,40.9,"EFFECTIVE_RATE",24,9714,"VEHICLE",227500,0,"PERFORMING"
"CGMBA018220","STK2378079","MOTOR BICYCLE ","LEASING",99600,23-01-17,44.72,"EFFECTIVE_RATE",24,6351,"VEHICLE",235500,0,"PERFORMING"
"CGMBA018178","STK2378041","MOTOR BICYCLE ","LEASING",164000,23-01-17,38.35,"EFFECTIVE_RATE",36,7733,"VEHICLE",235500,226.5,"NPL"
"KTMBA008593","STK2364052","MOTOR BICYCLE ","LEASING",125930,02-01-17,40.26,"EFFECTIVE_RATE",48,5316,"VEHICLE",179900,-538.5,"PERFORMING"
"DPMBA003185","STK2365519","MOTOR BICYCLE ","LEASING",136500,02-01-17,31.9,"EFFECTIVE_RATE",36,5938,"VEHICLE",198300,-623.7,"PERFORMING"
"GPMBA015445","STK2368881","MOTOR BICYCLE ","LEASING",300000,10-01-17,38.46,"EFFECTIVE_RATE",36,14165,"VEHICLE",500000,-224.4,"PERFORMING"
"NKMBA011582","STK1425907","MOTOR BICYCLE ","LEASING",122000,11-01-17,46.93,"EFFECTIVE_RATE",30,6980,"VEHICLE",244500,0,"PERFORMING"
"THMBA006285","STK2373968","MOTOR BICYCLE ","LEASING",99000,17-01-17,38.74,"EFFECTIVE_RATE",24,5991,"VEHICLE",165000,-150,"PERFORMING"
"MOMBA006797","STK594881","MOTOR BICYCLE ","LEASING",183995,18-01-17,37.85,"EFFECTIVE_RATE",36,8623,"VEHICLE",262850,0,"PERFORMING"
"WTMBA013580","STK2374362","MOTOR BICYCLE ","LEASING",214300,23-01-17,34.98,"EFFECTIVE_RATE",36,9692,"VEHICLE",335000,-582.3,"PERFORMING"
"AGMBA005370","STK2375395","MOTOR BICYCLE ","LEASING",149350,18-01-17,44.66,"EFFECTIVE_RATE",24,9519,"VEHICLE",247850,-30,"PERFORMING"
"PLMBA014905","STK2376736","MOTOR BICYCLE ","LEASING",173450,19-01-17,35.91,"EFFECTIVE_RATE",36,7936,"VEHICLE",247850,-475.5,"PERFORMING"
