"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"GRMBA004427","STK944759","MOTOR BICYCLE ","LEASING",130000,31-01-17,35.08,"EFFECTIVE_RATE",36,5887,"VEHICLE",190000,240,"NPL"
"KLMBA009460","STK579534","MOTOR BICYCLE ","LEASING",100000,02-01-17,40.42,"EFFECTIVE_RATE",24,6142,"VEHICLE",150000,0,"PERFORMING"
"WWMBA007527","STK2322267","MOTOR BICYCLE ","LEASING",96000,04-01-17,39.53,"EFFECTIVE_RATE",24,5850,"VEHICLE",160000,-332.1,"PERFORMING"
"MGMBA018178","STK2024731","MOTOR BICYCLE ","LEASING",307930,02-01-17,34.41,"EFFECTIVE_RATE",48,11891,"VEHICLE",439900,158.1,"PERFORMING"
"KUMBA020696","STK2347796","MOTOR BICYCLE ","LEASING",149196,03-01-17,29.14,"EFFECTIVE_RATE",36,6264,"VEHICLE",234999,0,"PERFORMING"
"PGMBA010538","STK1100877","MOTOR BICYCLE ","LEASING",87500,03-01-17,46.77,"EFFECTIVE_RATE",24,5679,"VEHICLE",125000,416.4,"NPL"
"CGMBA016879","STK2365188","MOTOR BICYCLE ","LEASING",307900,03-01-17,36.14,"EFFECTIVE_RATE",36,14128,"VEHICLE",439900,301.2,"NPL"
"KBMBA012864","STK2365581","MOTOR BICYCLE ","LEASING",158199,03-01-17,61.41,"EFFECTIVE_RATE",12,17968,"VEHICLE",234999,120,"PERFORMING"
"MTMBA010617","STK2367723","MOTOR BICYCLE ","LEASING",162000,09-01-17,41.43,"EFFECTIVE_RATE",30,8756,"VEHICLE",235500,0,"PERFORMING"
"NGMBA014808","STK2367968","MOTOR BICYCLE ","LEASING",167230,07-01-17,45.78,"EFFECTIVE_RATE",24,10762,"VEHICLE",238900,-60,"PERFORMING"
"MOMBA006735","STK1207743","MOTOR BICYCLE ","LEASING",173495,17-01-17,42.91,"EFFECTIVE_RATE",24,10891,"VEHICLE",247850,-90,"PERFORMING"
"AWMBA006742","STK2369763","MOTOR BICYCLE ","LEASING",122500,11-01-17,38.51,"EFFECTIVE_RATE",36,5788,"VEHICLE",175000,179.4,"PERFORMING"
"CGMBA017373","STK2370155","MOTOR BICYCLE ","LEASING",282000,11-01-17,40.23,"EFFECTIVE_RATE",24,17290,"VEHICLE",405500,-60,"PERFORMING"
"KRMBA009743","STK2022897","MOTOR BICYCLE ","LEASING",164850,11-01-17,40.68,"EFFECTIVE_RATE",36,7997,"VEHICLE",235500,188.7,"NPL"
"TRMBA010583","STK2371138","MOTOR BICYCLE ","LEASING",132700,18-01-17,41.1,"EFFECTIVE_RATE",36,6470,"VEHICLE",189900,-120,"PERFORMING"
"EMMBA015843","STK2258980","MOTOR BICYCLE ","LEASING",164850,17-01-17,39.58,"EFFECTIVE_RATE",36,7891,"VEHICLE",235500,-210,"PERFORMING"
"ARMBA013298","STK2373095","MOTOR BICYCLE ","LEASING",159250,16-01-17,40.55,"EFFECTIVE_RATE",36,7713,"VEHICLE",227500,-194.4,"PERFORMING"
"KTMBA009095","STK2372143","MOTOR BICYCLE ","LEASING",302295,19-01-17,40.96,"EFFECTIVE_RATE",24,18654,"VEHICLE",431850,0,"PERFORMING"
"KDMBA023189","STK2374096","MOTOR BICYCLE ","LEASING",112951.49,19-01-17,28,"EFFECTIVE_RATE",36,4673,"VEHICLE",215500,-120,"PERFORMING"
"MHMBA009095","STK1012575","MOTOR BICYCLE ","LEASING",227570,01-01-17,41.51,"EFFECTIVE_RATE",36,11150,"VEHICLE",325100,-323.7,"PERFORMING"
"PGMBA010495","STK2044462","MOTOR BICYCLE ","LEASING",164850,02-01-17,40.64,"EFFECTIVE_RATE",36,7993,"VEHICLE",235500,0,"PERFORMING"
"MRMBA009644","STK2365568","MOTOR BICYCLE ","LEASING",192400,05-01-17,43.39,"EFFECTIVE_RATE",36,9641,"VEHICLE",409900,145.8,"PERFORMING"
"APMBA012420","STK2365971","MOTOR BICYCLE ","LEASING",227570,03-01-17,38.14,"EFFECTIVE_RATE",36,10703,"VEHICLE",325100,-475.8,"PERFORMING"
"WTMBA013146","STK2366239","MOTOR BICYCLE ","LEASING",164499,05-01-17,38.04,"EFFECTIVE_RATE",48,6717,"VEHICLE",234999,147,"PERFORMING"
"ARMBA012925","STK2368696","MOTOR BICYCLE ","LEASING",111499,10-01-17,42.23,"EFFECTIVE_RATE",36,5511,"VEHICLE",164999,-30,"PERFORMING"
"MPMBA009279","STK2368542","MOTOR BICYCLE ","LEASING",164800,13-01-17,38.4,"EFFECTIVE_RATE",36,7776,"VEHICLE",235500,199.8,"NPL"
"WTMBA013359","STK2370954","MOTOR BICYCLE ","LEASING",177426,13-01-17,25,"EFFECTIVE_RATE",36,7055,"VEHICLE",262650,-30,"PERFORMING"
"PGMBA010963","STK2372334","MOTOR BICYCLE ","LEASING",164850,16-01-17,40.64,"EFFECTIVE_RATE",36,7993,"VEHICLE",235500,-810.3,"PERFORMING"
"NPMBA004908","STK2372076","MOTOR BICYCLE ","LEASING",224000,17-01-17,35.28,"EFFECTIVE_RATE",36,10169,"VEHICLE",415000,172.2,"PERFORMING"
"NKMBA011740","STK2373588","MOTOR BICYCLE ","LEASING",164850,17-01-17,37.58,"EFFECTIVE_RATE",36,7700,"VEHICLE",235500,-198,"PERFORMING"
"MPMBA009408","STK986220","MOTOR BICYCLE ","LEASING",164800,17-01-17,38.4,"EFFECTIVE_RATE",36,7776,"VEHICLE",235500,-120,"PERFORMING"
"PTMBA007381","STK2373628","MOTOR BICYCLE ","LEASING",168350,18-01-17,28,"EFFECTIVE_RATE",24,9241,"VEHICLE",247850,-60,"PERFORMING"
"PGMBA010486","STK2365372","MOTOR BICYCLE ","LEASING",125999.3,02-01-17,48.8,"EFFECTIVE_RATE",24,8321,"VEHICLE",179999,-120,"PERFORMING"
"CWMBA009927","STK2367246","MOTOR BICYCLE ","LEASING",99800,13-01-17,54.81,"EFFECTIVE_RATE",12,10987,"VEHICLE",198300,-294,"PERFORMING"
"MTMBA010750","STK1101812","MOTOR BICYCLE ","LEASING",84000,13-01-17,37.64,"EFFECTIVE_RATE",24,5034,"VEHICLE",140000,-90,"PERFORMING"
"NAMBA007763","STK2371847","MOTOR BICYCLE ","LEASING",227570,13-01-17,54.66,"EFFECTIVE_RATE",12,25036,"VEHICLE",325100,210,"NPL"
"TRMBA010501","STK2374122","MOTOR BICYCLE ","LEASING",139500,17-01-17,41.28,"EFFECTIVE_RATE",36,6816,"VEHICLE",199300,-47.7,"PERFORMING"
"NGMBA015278","STK2375470","MOTOR BICYCLE ","LEASING",173495,18-01-17,40.57,"EFFECTIVE_RATE",36,8405,"VEHICLE",247850,253.2,"NPL"
"MVMBA005066","STK2375787","MOTOR BICYCLE ","LEASING",164850,19-01-17,38.28,"EFFECTIVE_RATE",24,9935,"VEHICLE",235500,-150,"PERFORMING"
