date,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over,t1_map1_wr,t1_map2_wr,t1_map3_wr,t2_map1_wr,t2_map2_wr,t2_map3_wr
2020-03-12,Rooster,Paradox,0,2340203,5228,3,123412,Dust2,Vertigo,0.0,Nuke,Overpass,0.0,Mirage,Train,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,VERTEX,I sleep,0,2340202,5228,3,123412,Vertigo,Train,0.0,Mirage,Overpass,0.0,Inferno,Dust2,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,Paradox,Chiefs,1,2340254,5236,3,123412,Nuke,Vertigo,0.0,Overpass,Train,0.0,Mirage,Inferno,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,AVANT,ORDER,1,2340204,5236,3,123412,Vertigo,Mirage,0.0,Overpass,Nuke,0.0,Inferno,Train,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,Yeah,Envy,0,2340201,5178,3,123412,Vertigo,Mirage,0.0,Nuke,Dust2,0.0,Inferno,Overpass,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,Paradox,Ground Zero,0,2340193,5236,3,123412,Nuke,Vertigo,0.0,Train,Dust2,0.0,Inferno,Mirage,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,Rooster,Chiefs,0,2340192,5236,3,123412,Nuke,Dust2,0.0,Overpass,Vertigo,0.0,Inferno,Mirage,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,Envy,Chaos,0,2340187,5178,3,123412,Nuke,Inferno,0.0,Train,Vertigo,0.0,Mirage,Dust2,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,Ze Pug Godz,Yeah,0,2340186,5178,3,123412,Train,Dust2,0.0,Vertigo,Overpass,0.0,Inferno,Nuke,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,Ground Zero,ORDER,1,2339978,5236,3,123412,Train,Dust2,0.0,Overpass,Inferno,0.0,Mirage,Vertigo,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,Chiefs,AVANT,0,2339979,5236,3,123412,Overpass,Inferno,0.0,Vertigo,Mirage,0.0,Nuke,Dust2,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,Triumph,Orgless,0,2340200,5178,3,123412,Train,Mirage,0.0,Vertigo,Overpass,0.0,Nuke,Dust2,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Rooster,Ground Zero,0,2340149,5198,3,123412,Nuke,Dust2,0.0,Overpass,Train,0.0,Mirage,Inferno,Vertigo,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Sprout,Copenhagen Flames,1,2340180,5135,3,123412,Overpass,Inferno,0.0,Dust2,Vertigo,0.0,Mirage,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,JiJieHao,EHOME,1,2340190,5196,3,123412,Vertigo,Inferno,0.0,Dust2,Overpass,0.0,Mirage,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Chiefs,ORDER,1,2340170,5198,3,123412,Vertigo,Inferno,0.0,Overpass,Dust2,0.0,Nuke,Train,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Chiefs,Ground Zero,0,2340188,5198,3,123412,Train,Dust2,0.0,Overpass,Vertigo,0.0,Mirage,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Ze Pug Godz,Bad News Bears,1,2340173,5178,3,123412,Nuke,Train,0.0,Vertigo,Mirage,0.0,Inferno,Dust2,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Orgless,Gen.G,1,2340176,5178,3,123412,Vertigo,Dust2,0.0,Train,Overpass,0.0,Mirage,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
