,team_1,team_2,_map,result_1,result_2,map_winner,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
2491,Virtus.pro,GamerLegion,Nuke,16,7,1,5098,2338448,26,34,2,0,1
2492,Mazaalai,D13,Train,16,7,1,5001,2338399,140,133,2,1,1
2493,OFFSET,KPI,Dust2,13,16,2,5089,2338336,68,208,0,2,2
2494,Virtus.pro,GamerLegion,Overpass,16,3,1,5098,2338448,26,34,2,0,1
2495,HAVU,SJ,Dust2,16,5,1,5019,2338438,28,47,2,0,1
2496,HAVU,SJ,Nuke,16,12,1,5019,2338438,28,47,2,0,1
2497,Just Swing,iNTACT,Mirage,12,16,2,5101,2338436,144,136,0,2,2
2498,Mazaalai,D13,Nuke,11,16,2,5001,2338399,140,133,2,1,1
2499,Mazaalai,D13,Mirage,16,7,1,5001,2338399,140,133,2,1,1
2500,Faint,Thunder Logic,Mirage,11,16,2,5101,2338435,128,138,0,2,2
2501,Faint,Thunder Logic,Inferno,5,16,2,5101,2338435,128,138,0,2,2
2502,Just Swing,iNTACT,Inferno,12,16,2,5101,2338436,144,136,0,2,2
2503,Bushido Boyz,Rebirth,Nuke,16,7,1,5101,2338434,211,168,2,0,1
2504,Bushido Boyz,Rebirth,Mirage,16,11,1,5101,2338434,211,168,2,0,1
2505,Ambush,Wisla Krakow,Mirage,13,16,2,5098,2338449,79,51,0,2,2
2506,Ambush,Wisla Krakow,Inferno,9,16,2,5098,2338449,79,51,0,2,2
2507,GODSENT,Spirit,Nuke,8,16,2,4492,2338379,23,31,1,2,2
2508,AGF,FATE,Train,10,16,2,5098,2338452,134,75,1,2,2
2509,PACT,Unicorns of Love,Vertigo,16,12,1,5098,2338447,67,96,1,2,2
2510,Wisla Krakow,Defusekids,Train,14,16,2,5098,2338469,51,91,2,1,1
2511,AGF,FATE,Overpass,16,10,1,5098,2338452,134,75,1,2,2
2512,Wisla Krakow,Defusekids,Nuke,16,13,1,5098,2338469,51,91,2,1,1
2513,KOVA,MELBET,Dust2,16,19,2,5105,2338476,160,86,16,19,2
2514,BIG,Secret,Nuke,16,12,1,5105,2338471,29,57,16,12,1
2515,Vexed,Phoenix,Inferno,16,10,1,5091,2338355,213,87,2,0,1
2516,Vexed,Phoenix,Nuke,16,10,1,5091,2338355,213,87,2,0,1
2517,Wisla Krakow,Defusekids,Mirage,16,14,1,5098,2338469,51,91,2,1,1
2518,PACT,Unicorns of Love,Inferno,14,16,2,5098,2338447,67,96,1,2,2
2519,GODSENT,Spirit,Overpass,13,16,2,4492,2338379,23,31,1,2,2
2520,GODSENT,Spirit,Dust2,16,7,1,4492,2338379,23,31,1,2,2
2521,OFFSET,Defusekids,Train,16,11,1,5098,2338450,68,91,1,2,2
2522,OFFSET,Defusekids,Overpass,4,16,2,5098,2338450,68,91,1,2,2
2523,OFFSET,Defusekids,Dust2,10,16,2,5098,2338450,68,91,1,2,2
2524,AGF,FATE,Vertigo,3,16,2,5098,2338452,134,75,1,2,2
2525,PACT,Unicorns of Love,Dust2,7,16,2,5098,2338447,67,96,1,2,2
2526,Heretics,Fierce,Nuke,16,14,1,5091,2338352,40,169,2,0,1
2527,Unicorns of Love,Defusekids,Vertigo,16,12,1,5098,2338382,80,98,2,1,1
2528,Unicorns of Love,Defusekids,Inferno,16,7,1,5098,2338382,80,98,2,1,1
2529,AGF,Wisla Krakow,Train,16,13,1,5098,2338381,135,56,2,1,1
2530,Ambush,FATE,Train,9,16,2,5098,2338384,69,82,2,1,1
2531,Ambush,FATE,Inferno,16,7,1,5098,2338384,69,82,2,1,1
2532,Heretics,Fierce,Vertigo,16,11,1,5091,2338352,40,169,2,0,1
2533,Sprout,Cream,Overpass,16,6,1,5089,2338335,24,124,2,0,1
2534,Alpha Red,Mazaalai,Dust2,18,22,2,5001,2338397,65,157,18,22,2
2535,SKADE,MAJESTY,Train,16,8,1,5099,2338393,75,155,2,0,1
2536,SKADE,MAJESTY,Dust2,16,12,1,5099,2338393,75,155,2,0,1
2537,Sprout,Cream,Mirage,16,11,1,5089,2338335,24,124,2,0,1
2538,D13,BL4ZE,Inferno,16,12,1,5001,2338395,134,194,16,12,1
2539,Darkhorse,Bren,Dust2,5,16,2,5001,2338396,176,72,5,16,2
2540,Unicorns of Love,Defusekids,Dust2,18,22,2,5098,2338382,80,98,2,1,1
2541,Ambush,FATE,Overpass,16,7,1,5098,2338384,69,82,2,1,1
2542,AGF,Wisla Krakow,Nuke,14,16,2,5098,2338381,135,56,2,1,1
2543,GamerLegion,Ambush,Dust2,16,14,1,5098,2338388,34,79,2,1,1
2544,PACT,AGF,Nuke,14,16,2,5098,2338385,67,134,2,1,1
2545,AGF,Wisla Krakow,Inferno,22,19,1,5098,2338381,135,56,2,1,1
2546,PACT,AGF,Dust2,16,14,1,5098,2338385,67,134,2,1,1
2547,Defusekids,PRINCEADIL,Default,16,14,1,5091,2338353,91,225,2,1,1
2548,Defusekids,PRINCEADIL,Dust2,16,14,1,5091,2338353,91,225,2,1,1
2549,GamerLegion,Ambush,Inferno,13,16,2,5098,2338388,34,79,2,1,1
2550,PACT,AGF,Inferno,16,4,1,5098,2338385,67,134,2,1,1
2551,GamerLegion,Ambush,Overpass,16,4,1,5098,2338388,34,79,2,1,1
2552,Virtus.pro,OFFSET,Train,16,10,1,5098,2338387,25,73,2,1,1
2553,Virtus.pro,OFFSET,Overpass,16,9,1,5098,2338387,25,73,2,1,1
2554,Winstrike,PACT,Vertigo,16,12,1,5019,2338345,58,79,2,1,1
2555,Winstrike,PACT,Inferno,5,16,2,5019,2338345,58,79,2,1,1
2556,Winstrike,PACT,Dust2,22,20,1,5019,2338345,58,79,2,1,1
2557,Virtus.pro,OFFSET,Inferno,9,16,2,5098,2338387,25,73,2,1,1
2558,Alpha Red,OneThree,Dust2,16,11,1,5000,2338338,65,104,1,2,2
2559,OFFSET,Baecon,Train,11,16,2,5090,2338350,73,247,2,1,1
2560,OFFSET,Baecon,Vertigo,16,8,1,5090,2338350,73,247,2,1,1
2561,Alpha Red,OneThree,Train,9,16,2,5000,2338338,65,104,1,2,2
2562,Alpha Red,OneThree,Inferno,14,16,2,5000,2338338,65,104,1,2,2
2563,Unique,SJ,Nuke,14,16,2,5019,2338309,89,51,1,2,2
2564,BIG,Brute,Mirage,16,10,1,5089,2338334,26,185,2,0,1
2565,BIG,Brute,Nuke,16,14,1,5089,2338334,26,185,2,0,1
2566,Unique,SJ,Train,3,16,2,5019,2338309,89,51,1,2,2
2567,pro100,HellRaisers,Train,16,12,1,2606,2338286,53,59,2,0,1
2568,Giants,PACT,Vertigo,13,16,2,5063,2338358,62,79,0,2,2
2569,OFFSET,Baecon,Dust2,16,6,1,5090,2338350,73,247,2,1,1
2570,Goliath,HellRaisers,Overpass,6,16,2,2606,2338285,275,59,0,2,2
2571,Giants,PACT,Inferno,10,16,2,5063,2338358,62,79,0,2,2
2572,MC,ex-Genuine,Inferno,7,16,2,5066,2338374,152,156,1,2,2
2573,MC,ex-Genuine,Overpass,16,14,1,5066,2338374,152,156,1,2,2
2574,MC,ex-Genuine,Nuke,10,16,2,5066,2338374,152,156,1,2,2
2575,ViCi,NASR,Inferno,16,11,1,4685,2338342,36,133,3,0,1
2576,ViCi,NASR,Nuke,16,6,1,4685,2338342,36,133,3,0,1
2577,ViCi,NASR,Overpass,19,16,1,4685,2338342,36,133,3,0,1
2578,ARCY,AGO,Train,7,16,2,5055,2338348,35,43,0,2,2
2579,Goliath,HellRaisers,Inferno,8,16,2,2606,2338285,275,59,0,2,2
2580,pro100,Yalla,Vertigo,16,4,1,2606,2338284,53,166,2,0,1
2581,pro100,Yalla,Inferno,16,12,1,2606,2338284,53,166,2,0,1
2582,pro100,HellRaisers,Mirage,19,15,1,2606,2338286,53,59,2,0,1
2583,Unique,SJ,Vertigo,16,13,1,5019,2338309,89,51,1,2,2
2584,ARCY,AGO,Nuke,13,16,2,5055,2338348,35,43,0,2,2
2585,eXploit,OFFSET,Nuke,17,19,2,5090,2338375,113,73,1,2,2
2586,PACT,Izako Boars,Train,10,16,2,5063,2338376,79,87,2,1,1
2587,PACT,Izako Boars,Vertigo,16,2,1,5063,2338376,79,87,2,1,1
2588,PACT,Izako Boars,Dust2,16,7,1,5063,2338376,79,87,2,1,1
2589,R-Stars,Lynn Vision,Dust2,16,7,1,5000,2338339,76,136,2,0,1
2590,GamerLegion,HAVU,Overpass,16,13,1,4945,2338289,31,28,1,2,2
2591,GamerLegion,HAVU,Dust2,12,16,2,4945,2338289,31,28,1,2,2
2592,ECLOT,Brute,Nuke,9,16,2,5092,2338361,149,185,1,2,2
2593,ECLOT,Brute,Overpass,16,8,1,5092,2338361,149,185,1,2,2
2594,ECLOT,Brute,Mirage,17,19,2,5092,2338361,149,185,1,2,2
2595,Illuminar,AGO,Inferno,12,16,2,5055,2338349,27,43,2,1,1
2596,Illuminar,AGO,Mirage,16,12,1,5055,2338349,27,43,2,1,1
2597,Illuminar,AGO,Nuke,16,2,1,5055,2338349,27,43,2,1,1
2598,GamerLegion,HAVU,Nuke,10,16,2,4945,2338289,31,28,1,2,2
2599,eXploit,OFFSET,Dust2,16,8,1,5090,2338375,113,73,1,2,2
2600,Nordavind,Heretics,Inferno,16,9,1,5019,2338310,74,40,2,0,1
2601,eXploit,OFFSET,Vertigo,8,16,2,5090,2338375,113,73,1,2,2
2602,Heroic,GamerLegion,Inferno,16,10,1,5052,2338356,17,31,2,1,1
2603,Heroic,GamerLegion,Mirage,9,16,2,5052,2338356,17,31,2,1,1
2604,Heroic,GamerLegion,Nuke,16,13,1,5052,2338356,17,31,2,1,1
2605,R-Stars,Lynn Vision,Inferno,16,12,1,5000,2338339,76,136,2,0,1
2606,Nordavind,Heretics,Overpass,19,16,1,5019,2338310,74,40,2,0,1
2607,fnatic,mousesports,Mirage,11,16,2,4697,2338071,4,9,0,3,2
2608,fnatic,mousesports,Train,10,16,2,4697,2338071,4,9,0,3,2
2609,fnatic,mousesports,Inferno,11,16,2,4697,2338071,4,9,0,3,2
2610,dream[S]cape,NASR,Train,19,16,1,4685,2338273,83,133,1,2,2
2611,GamerLegion,North,Nuke,14,16,2,5052,2338291,31,22,0,2,2
2612,Illuminar,ARCY,Vertigo,8,16,2,5055,2338312,27,35,2,1,1
2613,Illuminar,ARCY,Mirage,16,12,1,5055,2338312,27,35,2,1,1
2614,OneThree,EHOME,Nuke,16,10,1,5000,2338333,104,77,16,10,1
2615,Alpha Red,2990,Vertigo,16,9,1,5000,2338330,65,184,16,9,1
2616,Lynn Vision,Bren,Inferno,16,10,1,5000,2338329,136,72,16,10,1
2617,Izako Boars,Giants,Nuke,9,16,2,5063,2338299,87,62,9,16,2
2618,R-Stars,D13,Train,16,10,1,5000,2338328,76,134,16,10,1
2619,HellRaisers,Lucid Dream,Nuke,16,10,1,2606,2338282,59,85,2,0,1
2620,dream[S]cape,NASR,Dust2,9,16,2,4685,2338273,83,133,1,2,2
2621,dream[S]cape,NASR,Nuke,15,19,2,4685,2338273,83,133,1,2,2
2622,HellRaisers,Yalla,Mirage,16,14,1,2606,2338283,59,166,2,0,1
2623,HellRaisers,Yalla,Nuke,16,2,1,2606,2338283,59,166,2,0,1
2624,HellRaisers,Lucid Dream,Vertigo,16,2,1,2606,2338282,59,85,2,0,1
2625,Global,ViCi,Train,8,16,2,4685,2338272,220,36,0,2,2
2626,Global,ViCi,Inferno,6,16,2,4685,2338272,220,36,0,2,2
2627,Yalla,Lucid Dream,Mirage,17,19,2,2606,2338281,166,85,1,1,2
2628,Yalla,Lucid Dream,Inferno,16,10,1,2606,2338281,166,85,1,1,2
2629,GamerLegion,North,Dust2,9,16,2,5052,2338291,31,22,0,2,2
2630,Illuminar,ARCY,Nuke,16,7,1,5055,2338312,27,35,2,1,1
2631,AGO,SKADE,Train,16,3,1,5055,2338313,43,75,2,0,1
2632,Heroic,maquinas,Nuke,16,9,1,5052,2338311,17,90,2,1,1
2633,Astralis,mousesports,Train,19,22,2,4697,2338070,1,9,1,2,2
2634,AGO,SKADE,Nuke,16,10,1,5055,2338313,43,75,2,0,1
2635,Astralis,mousesports,Overpass,16,9,1,4697,2338070,1,9,1,2,2
2636,Astralis,mousesports,Dust2,14,16,2,4697,2338070,1,9,1,2,2
2637,Chaos,LiViD,Train,16,2,1,5086,2338318,50,122,2,0,1
2638,Chaos,LiViD,Overpass,16,5,1,5086,2338318,50,122,2,0,1
2639,eXploit,FTW,Dust2,6,16,2,5090,2338344,113,238,2,1,1
2640,eXploit,FTW,Nuke,16,13,1,5090,2338344,113,238,2,1,1
2641,PACT,Wisla Krakow,Train,16,14,1,5063,2338302,79,56,16,14,1
2642,eXploit,FTW,Mirage,16,5,1,5090,2338344,113,238,2,1,1
2643,Heroic,maquinas,Inferno,13,16,2,5052,2338311,17,90,2,1,1
2644,Natus Vincere,fnatic,Nuke,11,16,2,4697,2338069,14,4,1,2,2
2645,Valorix,Lilmix,Inferno,12,16,2,5082,2338315,232,281,1,2,2
2646,Heroic,maquinas,Overpass,16,10,1,5052,2338311,17,90,2,1,1
2647,Valorix,Lilmix,Train,16,9,1,5082,2338315,232,281,1,2,2
2648,Natus Vincere,fnatic,Overpass,6,16,2,4697,2338069,14,4,1,2,2
2649,Valorix,Lilmix,Mirage,16,19,2,5082,2338315,232,281,1,2,2
2650,Natus Vincere,fnatic,Inferno,16,14,1,4697,2338069,14,4,1,2,2
2651,Nordavind,Unicorns of Love,Vertigo,16,3,1,5031,2338290,74,80,3,0,1
2652,Nordavind,Unicorns of Love,Default,16,8,1,5031,2338290,74,80,3,0,1
2653,SKADE,Virtus.pro,Nuke,15,19,2,5055,2338287,75,25,2,1,1
2654,Thunder Logic,Faint,Train,10,16,2,5030,2338277,123,128,1,2,2
2655,Thunder Logic,Faint,Dust2,12,16,2,5030,2338277,123,128,1,2,2
2656,Thunder Logic,Faint,Nuke,16,4,1,5030,2338277,123,128,1,2,2
2657,pro100,Goliath,Train,16,8,1,2606,2338280,53,275,2,0,1
2658,pro100,Goliath,Inferno,16,11,1,2606,2338280,53,275,2,0,1
2659,Ambush,maquinas,Vertigo,11,16,2,5052,2338265,69,90,0,2,2
2660,Ambush,maquinas,Mirage,14,16,2,5052,2338265,69,90,0,2,2
2661,SKADE,Virtus.pro,Mirage,16,14,1,5055,2338287,75,25,2,1,1
2662,Nemiga,GODSENT,Inferno,9,16,2,4492,2338261,47,21,1,2,2
2663,SKADE,Virtus.pro,Overpass,16,13,1,5055,2338287,75,25,2,1,1
2664,fnatic,Liquid,Inferno,16,8,1,4697,2338067,4,3,2,0,1
2665,Evil Geniuses,mousesports,Train,6,16,2,4697,2338068,2,9,1,2,2
2666,Nemiga,GODSENT,Dust2,9,16,2,4492,2338261,47,21,1,2,2
2667,Evil Geniuses,mousesports,Nuke,0,16,2,4697,2338068,2,9,1,2,2
2668,fnatic,Liquid,Overpass,16,11,1,4697,2338067,4,3,2,0,1
2669,Evil Geniuses,mousesports,Inferno,19,17,1,4697,2338068,2,9,1,2,2
2670,Secret,SJ,Dust2,14,16,2,5019,2338228,57,51,0,2,2
2671,Secret,SJ,Nuke,9,16,2,5019,2338228,57,51,0,2,2
2672,Nemiga,GODSENT,Nuke,16,11,1,4492,2338261,47,21,1,2,2
2673,ATK,G2,Train,16,13,1,4697,2338062,34,15,2,1,1
2674,100 Thieves,fnatic,Train,13,16,2,4697,2338064,5,4,0,2,2
2675,100 Thieves,fnatic,Mirage,5,16,2,4697,2338064,5,4,0,2,2
2676,Renegades,mousesports,Nuke,16,14,1,4697,2338061,23,9,1,2,2
2677,Hard Legion,GODSENT,Overpass,16,6,1,4945,2338218,42,21,2,1,1
2678,Renegades,mousesports,Train,8,16,2,4697,2338061,23,9,1,2,2
2679,Renegades,mousesports,Inferno,7,16,2,4697,2338061,23,9,1,2,2
2680,ATK,G2,Vertigo,4,16,2,4697,2338062,34,15,2,1,1
2681,Airborne,PC419,Nuke,16,12,1,5004,2338275,200,172,2,1,1
2682,ATK,G2,Inferno,16,6,1,4697,2338062,34,15,2,1,1
2683,Airborne,PC419,Vertigo,16,4,1,5004,2338275,200,172,2,1,1
2684,Airborne,PC419,Inferno,9,16,2,5004,2338275,200,172,2,1,1
2685,SYF,ex-Genuine,Dust2,16,10,1,5066,2338276,131,156,1,2,2
2686,SYF,ex-Genuine,Train,7,16,2,5066,2338276,131,156,1,2,2
2687,SYF,ex-Genuine,Inferno,11,16,2,5066,2338276,131,156,1,2,2
2688,Hard Legion,GODSENT,Vertigo,12,16,2,4945,2338218,42,21,2,1,1
2689,Hard Legion,GODSENT,Train,16,5,1,4945,2338218,42,21,2,1,1
2690,Heroic,Copenhagen Flames,Mirage,16,11,1,5052,2338264,17,41,2,1,1
2691,Natus Vincere,Evil Geniuses,Nuke,16,11,1,4697,2338063,14,2,2,1,1
2692,Astralis,Liquid,Dust2,16,13,1,4697,2338065,1,3,2,1,1
2693,Unicorns of Love,ALTERNATE aTTaX,Vertigo,16,14,1,5031,2338270,80,61,2,1,1
2694,Natus Vincere,Evil Geniuses,Dust2,16,5,1,4697,2338063,14,2,2,1,1
2695,Unicorns of Love,ALTERNATE aTTaX,Dust2,8,16,2,5031,2338270,80,61,2,1,1
2696,Unicorns of Love,ALTERNATE aTTaX,Overpass,22,20,1,5031,2338270,80,61,2,1,1
2697,Heroic,Copenhagen Flames,Nuke,16,5,1,5052,2338264,17,41,2,1,1
2698,Astralis,Liquid,Inferno,14,16,2,4697,2338065,1,3,2,1,1
2699,Astralis,Liquid,Nuke,16,7,1,4697,2338065,1,3,2,1,1
2700,Heroic,Copenhagen Flames,Inferno,23,25,2,5052,2338264,17,41,2,1,1
2701,Virtus.pro,Illuminar,Vertigo,3,16,2,4945,2338219,25,27,0,2,2
2702,Virtus.pro,Illuminar,Mirage,13,16,2,4945,2338219,25,27,0,2,2
2703,ATK,mousesports,Vertigo,5,16,2,4697,2338066,34,9,0,2,2
2704,ATK,mousesports,Dust2,6,16,2,4697,2338066,34,9,0,2,2
2705,Spirit,HAVU,Nuke,16,4,1,4492,2338262,29,28,2,0,1
2706,Spirit,HAVU,Dust2,16,13,1,4492,2338262,29,28,2,0,1
2707,Natus Vincere,Evil Geniuses,Mirage,12,16,2,4697,2338063,14,2,2,1,1
2708,ATK,North,Overpass,16,9,1,4697,2338058,34,22,2,0,1
2709,Astralis,G2,Dust2,13,16,2,4697,2338053,1,15,2,1,1
2710,Astralis,G2,Inferno,19,15,1,4697,2338053,1,15,2,1,1
2711,Astralis,G2,Train,16,14,1,4697,2338053,1,15,2,1,1
2712,Renegades,Sharks,Dust2,7,16,2,4697,2338057,23,37,2,1,1
2713,Renegades,Sharks,Mirage,16,5,1,4697,2338057,23,37,2,1,1
2714,Renegades,Sharks,Nuke,16,12,1,4697,2338057,23,37,2,1,1
2715,FaZe,100 Thieves,Dust2,16,12,1,4697,2338059,6,5,1,2,2
2716,ATK,North,Vertigo,16,8,1,4697,2338058,34,22,2,0,1
2717,Thunder Logic,Recon 5,Train,16,12,1,5030,2338139,123,115,1,2,2
2718,Thunder Logic,Recon 5,Nuke,10,16,2,5030,2338139,123,115,1,2,2
2719,Thunder Logic,Recon 5,Mirage,12,16,2,5030,2338139,123,115,1,2,2
2720,Faint,iNTACT,Nuke,16,10,1,5030,2338179,128,121,2,1,1
2721,Faint,iNTACT,Inferno,13,16,2,5030,2338179,128,121,2,1,1
2722,Faint,iNTACT,Vertigo,16,12,1,5030,2338179,128,121,2,1,1
2723,FaZe,100 Thieves,Mirage,7,16,2,4697,2338059,6,5,1,2,2
2724,MIBR,fnatic,Inferno,10,16,2,4697,2338060,12,4,1,2,2
2725,FaZe,100 Thieves,Inferno,11,16,2,4697,2338059,6,5,1,2,2
2726,Winstrike,AGO,Dust2,10,16,2,5019,2338191,58,43,0,2,2
2727,Maknitude,AGF,Train,16,7,1,5080,2338257,285,135,2,0,1
2728,Defusekids,Sangal,Dust2,16,7,1,5073,2338269,98,229,2,0,1
2729,MIBR,fnatic,Dust2,19,16,1,4697,2338060,12,4,1,2,2
2730,MIBR,fnatic,Vertigo,11,16,2,4697,2338060,12,4,1,2,2
2731,mousesports,Liquid,Nuke,5,16,2,4697,2338054,9,3,1,2,2
2732,mousesports,Liquid,Vertigo,16,12,1,4697,2338054,9,3,1,2,2
2733,mousesports,Liquid,Dust2,14,16,2,4697,2338054,9,3,1,2,2
2734,Defusekids,Sangal,Inferno,16,13,1,5073,2338269,98,229,2,0,1
2735,Winstrike,AGO,Inferno,14,16,2,5019,2338191,58,43,0,2,2
2736,Sinister5,Big 5,Inferno,16,12,1,5056,2338237,168,165,3,0,1
2737,Tenerife Titans,Sangal,Mirage,12,16,2,5073,2338256,112,229,1,2,2
2738,Tenerife Titans,Sangal,Nuke,16,11,1,5073,2338256,112,229,1,2,2
2739,Tenerife Titans,Sangal,Inferno,8,16,2,5073,2338256,112,229,1,2,2
2740,Maknitude,AGF,Mirage,16,12,1,5080,2338257,285,135,2,0,1
2741,Sinister5,Big 5,Default,16,10,1,5056,2338237,168,165,3,0,1
2742,Heroic,100 Thieves,Vertigo,8,16,2,4697,2338040,17,5,8,16,2
2743,Natus Vincere,MIBR,Dust2,16,4,1,4697,2338051,14,12,2,0,1
2744,Sprout,ARCY,Train,17,19,2,4945,2338217,24,35,0,2,2
2745,Sprout,ARCY,Dust2,16,19,2,4945,2338217,24,35,0,2,2
2746,mousesports,ATK,Nuke,16,9,1,4697,2338044,9,34,16,9,1
2747,G2,Sharks,Inferno,16,13,1,4697,2338043,15,37,16,13,1
2748,Astralis,Renegades,Inferno,16,8,1,4697,2338042,1,23,16,8,1
2749,Ground Zero,PC419,Dust2,16,8,1,5003,2338225,100,172,2,0,1
2750,fnatic,Evil Geniuses,Mirage,3,16,2,4697,2338041,4,2,3,16,2
2751,FaZe,MIBR,Mirage,12,16,2,4697,2338039,6,12,12,16,2
2752,Natus Vincere,TYLOO,Dust2,16,6,1,4697,2338038,14,20,16,6,1
2753,Ground Zero,PC419,Inferno,16,13,1,5003,2338225,100,172,2,0,1
2754,Falkol,UP,Dust2,16,12,1,5042,2338229,221,202,2,0,1
2755,Falkol,UP,Vertigo,16,7,1,5042,2338229,221,202,2,0,1
2756,North,Liquid,Vertigo,12,16,2,4697,2338045,22,3,12,16,2
2757,Natus Vincere,MIBR,Train,16,9,1,4697,2338051,14,12,2,0,1
2758,TYLOO,FaZe,Dust2,5,16,2,4697,2338055,20,6,1,2,2
2759,FATE,Sangal,Overpass,16,9,1,5073,2338224,82,229,2,0,1
2760,OFFSET,Defusekids,Dust2,23,25,2,5073,2338222,73,98,1,2,2
2761,Wisla Krakow,Defusekids,Mirage,16,9,1,5073,2338259,56,98,2,0,1
2762,Wisla Krakow,Defusekids,Inferno,16,8,1,5073,2338259,56,98,2,0,1
2763,fnatic,Heroic,Inferno,9,16,2,4697,2338056,4,17,2,1,1
2764,fnatic,Heroic,Vertigo,16,13,1,4697,2338056,4,17,2,1,1
2765,FATE,Sangal,Inferno,16,5,1,5073,2338224,82,229,2,0,1
2766,OFFSET,Defusekids,Train,10,16,2,5073,2338222,73,98,1,2,2
2767,OFFSET,Defusekids,Inferno,16,10,1,5073,2338222,73,98,1,2,2
2768,fnatic,Heroic,Overpass,16,13,1,4697,2338056,4,17,2,1,1
2769,Evil Geniuses,100 Thieves,Mirage,16,8,1,4697,2338052,2,5,2,0,1
2770,Evil Geniuses,100 Thieves,Nuke,16,10,1,4697,2338052,2,5,2,0,1
2771,Finest,Yalla,Dust2,8,16,2,5065,2338236,114,166,0,2,2
2772,Finest,Yalla,Inferno,12,16,2,5065,2338236,114,166,0,2,2
2773,TYLOO,FaZe,Inferno,16,7,1,4697,2338055,20,6,1,2,2
2774,TYLOO,FaZe,Mirage,7,16,2,4697,2338055,20,6,1,2,2
2775,Lyngby Vikings,AGF,Dust2,14,16,2,5031,2338209,119,135,1,2,2
2776,Entity,Global,Inferno,12,16,2,5064,2338206,87,185,0,2,2
2777,Entity,Global,Dust2,7,16,2,5064,2338206,87,185,0,2,2
2778,GamerLegion,Copenhagen Flames,Overpass,16,19,2,4945,2338188,35,45,0,2,2
2779,GamerLegion,Copenhagen Flames,Nuke,11,16,2,4945,2338188,35,45,0,2,2
2780,Nordavind,Unicorns of Love,Inferno,16,6,1,5031,2338155,74,80,2,0,1
2781,Nordavind,Unicorns of Love,Nuke,16,4,1,5031,2338155,74,80,2,0,1
2782,Izako Boars,PACT,Vertigo,12,16,2,5019,2338192,87,79,0,2,2
2783,Izako Boars,PACT,Mirage,11,16,2,5019,2338192,87,79,0,2,2
2784,ARCY,AGO,Train,16,12,1,5055,2338165,35,43,2,1,1
2785,Lyngby Vikings,AGF,Inferno,16,12,1,5031,2338209,119,135,1,2,2
2786,Ambush,ALTERNATE aTTaX,Train,17,19,2,5031,2338193,69,61,0,2,2
2787,Ambush,ALTERNATE aTTaX,Inferno,14,16,2,5031,2338193,69,61,0,2,2
2788,Falkol,RUFUS,Overpass,16,8,1,4987,2338208,221,195,1,2,2
2789,ARCY,AGO,Vertigo,16,9,1,5055,2338165,35,43,2,1,1
2790,ARCY,AGO,Nuke,4,16,2,5055,2338165,35,43,2,1,1
2791,Falkol,RUFUS,Train,7,16,2,4987,2338208,221,195,1,2,2
2792,Falkol,RUFUS,Inferno,7,16,2,4987,2338208,221,195,1,2,2
2793,Lyngby Vikings,AGF,Nuke,5,16,2,5031,2338209,119,135,1,2,2
2794,GODSENT,forZe,Nuke,13,16,2,4313,2338036,23,18,1,2,2
2795,Tricked,CR4ZY,Dust2,16,7,1,4313,2338035,22,17,2,0,1
2796,Tricked,CR4ZY,Vertigo,16,6,1,4313,2338035,22,17,2,0,1
2797,GODSENT,forZe,Inferno,12,16,2,4313,2338036,23,18,1,2,2
2798,GODSENT,forZe,Dust2,16,7,1,4313,2338036,23,18,1,2,2
2799,Liquid,fnatic,Overpass,6,16,2,4926,2337794,4,3,2,1,1
2800,MC,Ground Zero,Inferno,8,16,2,5066,2338203,127,108,1,2,2
2801,MC,Ground Zero,Overpass,16,9,1,5066,2338203,127,108,1,2,2
2802,MC,Ground Zero,Nuke,14,16,2,5066,2338203,127,108,1,2,2
2803,eXploit,VodkaJuniors,Mirage,16,13,1,5029,2337841,113,251,1,2,2
2804,Liquid,fnatic,Inferno,16,6,1,4926,2337794,4,3,2,1,1
2805,Liquid,fnatic,Mirage,16,10,1,4926,2337794,4,3,2,1,1
2806,eXploit,VodkaJuniors,Inferno,11,16,2,5029,2337841,113,251,1,2,2
2807,eXploit,VodkaJuniors,Train,9,16,2,5029,2337841,113,251,1,2,2
2808,forZe,Tricked,Train,16,9,1,4313,2338037,18,22,2,1,1
2809,OFFSET,VodkaJuniors,Nuke,16,9,1,5029,2338207,81,251,2,1,1
2810,Astralis,Liquid,Vertigo,15,19,2,4926,2337795,1,4,2,1,1
2811,forZe,Tricked,Vertigo,14,16,2,4313,2338037,18,22,2,1,1
2812,Astralis,Liquid,Dust2,16,8,1,4926,2337795,1,4,2,1,1
2813,OFFSET,VodkaJuniors,Overpass,16,6,1,5029,2338207,81,251,2,1,1
2814,OFFSET,VodkaJuniors,Inferno,14,16,2,5029,2338207,81,251,2,1,1
2815,Astralis,Liquid,Nuke,16,11,1,4926,2337795,1,4,2,1,1
2816,AGO,Illuminar,Vertigo,12,16,2,5047,2338202,53,28,1,2,2
2817,AGO,Illuminar,Mirage,6,16,2,5047,2338202,53,28,1,2,2
2818,Yalla,Finest,Dust2,13,16,2,5065,2338200,139,123,0,2,2
2819,Yalla,Finest,Mirage,17,19,2,5065,2338200,139,123,0,2,2
2820,forZe,Tricked,Inferno,16,11,1,4313,2338037,18,22,2,1,1
2821,AGO,Illuminar,Train,16,6,1,5047,2338202,53,28,1,2,2
